法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于人民法院登记立案若干问题的规定,,"　　最高人民法院公告
　　《最高人民法院关于人民法院登记立案若干问题的规定》已于2015年4月13日由最高人民法院审判委员会第1647次会议通过，现予公布，自2015年5月1日起施行。
　　最高人民法院
　　2015年4月15日
　　最高人民法院关于人民法院登记立案若干问题的规定
　　（2015年4月13日最高人民法院审判委员会第1647次会议通过 法释〔2015〕8号 ）
　　为保护公民、法人和其他组织依法行使诉权，实现人民法院依法、及时受理案件，根据《中华人民共和国民事诉讼法》《中华人民共和国行政诉讼法》《中华人民共和国刑事诉讼法》等法律规定，制定本规定。",现行有效,司法解释,高法司法解释,中央,20150501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/755dcbd93ee45735582f105254f669af,,755dcbd93ee45735582f105254f669af,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17970212,3
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第二百零八条,"　人民法院接到当事人提交的民事起诉状时，对符合民事诉讼法第一百二十二条的规定，且不属于第一百二十七条规定情形的，应当登记立案；对当场不能判定是否符合起诉条件的，应当接收起诉材料，并出具注明收到日期的书面凭证。 
需要补充必要相关材料的，人民法院应当及时告知当事人。在补齐相关材料后，应当在七日内决定是否立案。 
立案后发现不符合起诉条件或者属于民事诉讼法第一百二十七条规定情形的，裁定驳回起诉。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=208,a8be8255398ec3a38327e8f07ecd18a0_208,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.1677665,1
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第五十三条,"　人民法院对符合起诉条件的案件应当立案，依法保障当事人行使诉讼权利。 
对当事人依法提起的诉讼，人民法院应当根据行政诉讼法第五十一条的规定接收起诉状。能够判断符合起诉条件的，应当当场登记立案；当场不能判断是否符合起诉条件的，应当在接收起诉状后七日内决定是否立案；七日内仍不能作出判断的，应当先予立案。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=53,b740a7aa6bdcd94a6cb099deeac811e6_53,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.15931046,1
最高人民法院关于人民法院登记立案若干问题的规定,第一条,　人民法院对依法应该受理的一审民事起诉、行政起诉和刑事自诉，实行立案登记制。,现行有效,司法解释,高法司法解释,中央,20150501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/755dcbd93ee45735582f105254f669af?text=1,755dcbd93ee45735582f105254f669af_1,755dcbd93ee45735582f105254f669af,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.156943112,1
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第六十二条,　人民法院判决撤销行政机关的行政行为后，公民、法人或者其他组织对行政机关重新作出的行政行为不服向人民法院起诉的，人民法院应当依法立案。,现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=62,b740a7aa6bdcd94a6cb099deeac811e6_62,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1482519199999999,1
最高人民法院发布3个实质性化解矛盾纠纷典型案例(第二批),,"　　2025年8月11日，张某通过诉讼服务平台向山东省东营市东营区人民法院提交了一件服务合同纠纷立案申请。立案人员认真核对张某提交的起诉材料发现，张某为一美容店的经营者，因曹某芳在美容店内多次购买产品未支付货款引发纠纷。该美容店已注册为个体工商户，且有字号，根据《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第五十九条规定，应当以营业执照上登记的字号为当事人，而非经营者张某。　　虽然起诉材料存在一定瑕疵，但是东营区法院没有简单“一退了之”，而是通过电话沟通，对张某开展法律释明，进行一次性告知补正。经过立案人员的诉讼指导，张某将起诉主体变更为其经营的美容店后再次提交了立案申请，东营区法院依法予以登记立案。经速裁法官调解，曹某芳当庭支付货款，案件圆满化解。　　【典型意义】
　　许多当事人因缺乏专业的法律知识，不能准确理解法定起诉条件，人民法院立案诉服部门应当耐心做好法律释明、诉讼指导等工作，一次性告知补正，引导当事人按照示范文本规范要求提交起诉状、答辩状，依法行使诉讼权利。",现行有效,司法解释,指导案例,,20260223,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e1c024cdb7aef874a4f1a34f67e81101,,e1c024cdb7aef874a4f1a34f67e81101,[],1.13239188,2
中华人民共和国行政诉讼法(2017修正),第五十一条,"　人民法院在接到起诉状时对符合本法规定的起诉条件的，应当登记立案。 
对当场不能判定是否符合本法规定的起诉条件的，应当接收起诉状，出具注明收到日期的书面凭证，并在七日内决定是否立案。不符合起诉条件的，作出不予立案的裁定。裁定书应当载明不予立案的理由。原告对裁定不服的，可以提起上诉。 
起诉状内容欠缺或者有其他错误的，应当给予指导和释明，并一次性告知当事人需要补正的内容。不得未经指导和释明即以起诉不符合条件为由不接收起诉状。 
对于不接收起诉状、接收起诉状后不出具书面凭证，以及不一次性告知当事人需要补正的起诉状内容的，当事人可以向上级人民法院投诉，上级人民法院应当责令改正，并对直接负责的主管人员和其他直接责任人员依法给予处分。",现行有效,法律,法律,中央,20170701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f8d68f2222d839c0d9972edcda1ac53?text=51,2f8d68f2222d839c0d9972edcda1ac53_51,2f8d68f2222d839c0d9972edcda1ac53,"['财税##其他法律法规##其他法律', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税##其他法律法规', '财税']",1.12615596,1
最高人民法院关于办理不服本院生效裁判案件的若干规定,第一条,立案庭对不服本院生效裁判案件经审查认为可能有错误，决定再审立案或者登记立案并移送审判监督庭后，审判监督庭应及时审理。,现行有效,司法解释,高法司法解释,中央,20011029,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e146041fe7104bd6747f75db8b81b770?text=1,e146041fe7104bd6747f75db8b81b770_1,e146041fe7104bd6747f75db8b81b770,[],1.10596824,1
最高人民法院印发《最高人民法院关于法律适用问题请示答复的规定》的通知,第七条,"最高人民法院立案庭应当自收到请示材料之日起三个工作日内审查完毕。请示材料符合要求的，应当编定案号，并按照下列情形分别处理： 
（一）符合请示范围、程序的，应当受理，并确定请示的承办部门； 
（二）不属于请示范围，或者违反请示程序的，不予受理，并书面告知提出请示的人民法院。 
请示材料不符合要求的，应当一次性告知提出请示的人民法院在指定的期限内补充。",现行有效,司法解释,司法解释性质文件,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6851019eaa9c9aeee06f9e7645734393?text=7,6851019eaa9c9aeee06f9e7645734393_7,6851019eaa9c9aeee06f9e7645734393,[],1.102701396,1
最高人民法院关于适用行政诉讼起诉期限若干问题的解释,第一条,公民、法人或者其他组织提起诉讼，符合行政诉讼法第四十九条规定的起诉条件，且未超过法定起诉期限的，人民法院应当依法立案。,现行有效,司法解释,高法司法解释,中央,20260501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b1d809578064f27c5adac50b58dce83?text=1,4b1d809578064f27c5adac50b58dce83_1,4b1d809578064f27c5adac50b58dce83,[],1.09751556,1
