法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国反不正当竞争法(2025修订),第十条,"经营者不得实施下列侵犯商业秘密的行为：
（一）以盗窃、贿赂、欺诈、胁迫、电子侵入或者其他不正当手段获取权利人的商业秘密；
（二）披露、使用或者允许他人使用以前项手段获取的权利人的商业秘密；
（三）违反保密义务或者违反权利人有关保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的商业秘密；
（四）教唆、引诱、帮助他人违反保密义务或者违反权利人有关保守商业秘密的要求，获取、披露、使用或者允许他人使用权利人的商业秘密。
经营者以外的其他自然人、法人和非法人组织实施前款所列违法行为的，视为侵犯商业秘密。
第三人明知或者应知商业秘密权利人的员工、前员工或者其他单位、个人实施本条第一款所列违法行为，仍获取、披露、使用或者允许他人使用该商业秘密的，视为侵犯商业秘密。
本法所称的商业秘密，是指不为公众所知悉、具有商业价值并经权利人采取相应保密措施的技术信息、经营信息等商业信息。",现行有效,法律,法律,中央,20251015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/970d6f3ba30415612a79b44524a3d3cc?text=10,970d6f3ba30415612a79b44524a3d3cc_10,970d6f3ba30415612a79b44524a3d3cc,"['财税##其他法律法规##其他法律', '企业法##市场竞争规范', '财税##其他法律法规', '财税', '企业法']",1.1996100479999998,1
中华人民共和国反不正当竞争法(2025修订),第二十六条,经营者以及其他自然人、法人和非法人组织违反本法第十条规定侵犯商业秘密的，由监督检查部门责令停止违法行为，没收违法所得，处十万元以上一百万元以下的罚款；情节严重的，处一百万元以上五百万元以下的罚款。,现行有效,法律,法律,中央,20251015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/970d6f3ba30415612a79b44524a3d3cc?text=26,970d6f3ba30415612a79b44524a3d3cc_26,970d6f3ba30415612a79b44524a3d3cc,"['财税##其他法律法规##其他法律', '企业法##市场竞争规范', '财税##其他法律法规', '财税', '企业法']",1.1921228879999999,1
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第十四条,"　通过自行开发研制或者反向工程获得被诉侵权信息的，人民法院应当认定不属于反不正当竞争法第九条规定的侵犯商业秘密行为。 
　　前款所称的反向工程，是指通过技术手段对从公开渠道取得的产品进行拆卸、测绘、分析等而获得该产品的有关技术信息。 
　　被诉侵权人以不正当手段获取权利人的商业秘密后，又以反向工程为由主张未侵犯商业秘密的，人民法院不予支持。",现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=14,8192e40cd6f0e4d8d47332f75a5f3831_14,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.18419372,1
中华人民共和国反不正当竞争法(2025修订),第二十二条,"经营者违反本法规定，给他人造成损害的，应当依法承担民事责任。
经营者的合法权益受到不正当竞争行为损害的，可以向人民法院提起诉讼。
因不正当竞争行为受到损害的经营者的赔偿数额，按照其因被侵权所受到的实际损失或者侵权人因侵权所获得的利益确定。经营者故意实施侵犯商业秘密行为，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额还应当包括经营者为制止侵权行为所支付的合理开支。
经营者违反本法第七条、第十条规定，权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益难以确定的，由人民法院根据侵权行为的情节判决给予权利人五百万元以下的赔偿。",现行有效,法律,法律,中央,20251015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/970d6f3ba30415612a79b44524a3d3cc?text=22,970d6f3ba30415612a79b44524a3d3cc_22,970d6f3ba30415612a79b44524a3d3cc,"['财税##其他法律法规##其他法律', '企业法##市场竞争规范', '财税##其他法律法规', '财税', '企业法']",1.174842888,1
最高人民法院发布8件人民法院保护科技创新典型案例,,　　最高人民法院二审认为，判断有合法渠道接触商业秘密的主体的行为是否违反反不正当竞争法第九条第一款的规定，不能仅孤立地看被诉侵权人此前有无接触、获取商业秘密的权限和被诉侵权人获取商业秘密的方式是否对应法律明文列举的手段类型，而应当综合审查被诉侵权人获取商业秘密的意图及其获取商业秘密后实施的行为，判断该被诉侵权行为是否导致或者可能导致权利人失去对该商业秘密的有效控制。曹某某知道或者应当知道其将承载有涉案技术秘密源代码的办公电脑带离公司办公场所并带回其个人家中的做法违反保密约定。结合王某某和北京某乙科技公司实施的被诉侵权行为，曹某某在本案中实施的被诉侵权行为，既违反公认的商业道德，也违背其与北京某甲科技公司签署的保密协议中作出的保守公司商业秘密的承诺，其获取涉案技术秘密的手段明显难谓正当，而其行为客观上已经造成涉案技术秘密所涉源代码脱离北京某甲科技公司有效控制以及被披露和被他人使用的重大商业风险，故其实施的被诉侵权行为具有明显的可归责性。王某某实施的被诉侵权行为，既属于个人行为，也属于代表北京某乙科技公司法人意志的职务行为。,现行有效,司法解释,指导案例,,20250106,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e17002f7a255dac8188196110b96c4d3,,e17002f7a255dac8188196110b96c4d3,[],1.173762564,2
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第五条,"　权利人为防止商业秘密泄露，在被诉侵权行为发生以前所采取的合理保密措施，人民法院应当认定为反不正当竞争法第九条第四款所称的相应保密措施。 
　　人民法院应当根据商业秘密及其载体的性质、商业秘密的商业价值、保密措施的可识别程度、保密措施与商业秘密的对应程度以及权利人的保密意愿等因素，认定权利人是否采取了相应保密措施。",现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=5,8192e40cd6f0e4d8d47332f75a5f3831_5,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17080376,1
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第九条,　被诉侵权人在生产经营活动中直接使用商业秘密，或者对商业秘密进行修改、改进后使用，或者根据商业秘密调整、优化、改进有关生产经营活动的，人民法院应当认定属于反不正当竞争法第九条所称的使用商业秘密。,现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=9,8192e40cd6f0e4d8d47332f75a5f3831_9,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1534052,1
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第十条,"　当事人根据法律规定或者合同约定所承担的保密义务，人民法院应当认定属于反不正当竞争法第九条第一款所称的保密义务。 
　　当事人未在合同中约定保密义务，但根据诚信原则以及合同的性质、目的、缔约过程、交易习惯等，被诉侵权人知道或者应当知道其获取的信息属于权利人的商业秘密的，人民法院应当认定被诉侵权人对其获取的商业秘密承担保密义务。",现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=10,8192e40cd6f0e4d8d47332f75a5f3831_10,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.151533128,1
最高人民检察院关于印发检察机关保护知识产权服务保障创新驱动发展典型案例的通知,,"检察机关通过依法追诉侵犯商业秘密犯罪、建议对缓刑人员适用禁止令、建立服务企业联系清单机制、推进追赃挽损等工作，护航高新技术企业创新发展，维护市场竞争秩序，营造法治化营商环境。　　一、基本案情
　　新某陆自动识别有限公司（以下简称新某陆公司）主要经营研究、开发、制造、销售条码设备、自动识别设备，研究、开发、销售高科技产品等业务。游某、游某棋原系新某陆公司及其关联公司员工，二人分别于2005年、2011年离职，后创办了上海鹰某智能科技有限公司（以下简称鹰某公司），主要经营与新某陆公司类似的条码扫描设备的生产、销售等业务。游某系鹰某公司股东、法定代表人，游某棋系鹰某公司股东、董事长。　　2016年6月至2020年7月，游某、游某棋明知他人非法获取新某陆公司UIMG解码库，仍使用他人提供的UIMG解码库生产与新某陆公司类似的条码扫描设备产品，并销售至全国各地，造成新某陆公司损失共计人民币614万余元。经鉴定，新某陆公司的UIMG解码库属于不为公众所知悉的技术信息，新某陆公司已对其采取相应保密措施，属于新某陆公司的商业秘密。2021年1月6日，游某、游某棋向公安机关投案。　　二、检察机关履职情况",现行有效,司法解释,指导案例,,20220420,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c4cc4721688699a6118db686af00c142,,c4cc4721688699a6118db686af00c142,[],1.15052388,2
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第十六条,　经营者以外的其他自然人、法人和非法人组织侵犯商业秘密，权利人依据反不正当竞争法第十七条的规定主张侵权人应当承担的民事责任的，人民法院应予支持。,现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=16,8192e40cd6f0e4d8d47332f75a5f3831_16,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.14608202,1
