法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于执行和解若干问题的规定(2020修正),第一条,"　当事人可以自愿协商达成和解协议，依法变更生效法律文书确定的权利义务主体、履行标的、期限、地点和方式等内容。 
　　和解协议一般采用书面形式。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2ce1c2ce0a73311f6283eb652584fb57?text=1,2ce1c2ce0a73311f6283eb652584fb57_1,2ce1c2ce0a73311f6283eb652584fb57,[],0.9830054399999999,1
企业劳动争议协商调解规定,第十一条,"　协商达成一致，应当签订书面和解协议。和解协议对双方当事人具有约束力，当事人应当履行。 
经仲裁庭审查，和解协议程序和内容合法有效的，仲裁庭可以将其作为证据使用。但是，当事人为达成和解的目的作出妥协所涉及的对争议事实的认可，不得在其后的仲裁中作为对其不利的证据。",现行有效,部门规章,部门规章,中央,20120101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8593cc1edead169ddf55da3c24f6caa?text=11,a8593cc1edead169ddf55da3c24f6caa_11,a8593cc1edead169ddf55da3c24f6caa,"['企业法##人力资源与社会保障', '企业法']",0.93782436,1
律师办理民事诉讼案件规范,第一百六十五条,　和解协议经债权人会议通过并由人民法院裁定公告后，律师应当协助委托人按和解协议的规定进行。,现行有效,行业/团体规范,律协规定,团体,20030326,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95f9b0980c0c06fe6f8e7d8995001066?text=165,95f9b0980c0c06fe6f8e7d8995001066_165,95f9b0980c0c06fe6f8e7d8995001066,[],0.6808786,1
最高人民法院发布第二批涉外商事海事调解典型案例,,"深圳某贸易公司的股东河南某贸易公司以及深圳某贸易公司总经理，作为清算组成员在未通知瑞士某公司的情况下注销企业，导致瑞士某公司超千万美元债权无法得到清偿。瑞士公司遂将河南某贸易公司、河南某贸易公司全资股东河南某煤电公司等诉至最高人民法院第一国际商事法庭，要求河南某贸易公司等向瑞士某公司支付损害赔偿和仲裁费用，河南某煤电公司就上述债务向瑞士某公司承担连带清偿责任。　　【调解方法及结果】
　　本案系典型的清算责任纠纷。伦敦金属交易所作出的仲裁裁决已在深圳中院得到承认。面对巨额跨国纠纷、汇率波动冲击、涉案因素复杂等诸多挑战，最高人民法院国际商事法庭法官以定分止争为目标，采取司法调解破解难题，展现和合共赢“东方智慧”。一是践行“如我在诉”理念，从东方“和文化”智慧中寻找解纷之道。为打破各方当事人“一案生、合作止”的困局，充分发挥庭前会议关键作用，通过证据交换，精准锁定案件核心争议焦点，经过反复沟通协商，达成初步的和解方案。二是建立“合作共赢”思维，寻求未来发展机遇。因案涉金额特别巨大，一度因国际汇率市场剧烈波动导致和解协议内容反复。",现行有效,司法解释,司法解释性质文件,中央,20250807,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/117ea25cf6f01d5da25a40585140b051,,117ea25cf6f01d5da25a40585140b051,[],0.56203812,2
律师参与仲裁工作规则,第三十四条,　在仲裁庭主持调解或双方当事人希望庭外和解时，应帮助委托人分析调解方案和最终执行的可行性。在符合法律法规，不损害委托人利益并征得其同意的前提下达成和解。,现行有效,行业/团体规范,律协规定,团体,20030326,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c28dda9a7bc10f26c409955b91817694?text=34,c28dda9a7bc10f26c409955b91817694_34,c28dda9a7bc10f26c409955b91817694,[],0.5539879,1
中华全国律师协会关于印发《律师办理刑事案件规范》的通知,第二百二十二条,　律师可以参与促成双方当事人和解。双方当事人自行和解的，可以协助其制作书面文件提交办案机关审查，或者提请办案机关主持制作和解协议书。,现行有效,行业/团体规范,律协规定,团体,20170827,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4c80ca58efda26dfb5fa977a800d174c?text=222,4c80ca58efda26dfb5fa977a800d174c_222,4c80ca58efda26dfb5fa977a800d174c,[],0.43800378,1
中华人民共和国刑事诉讼法(2018修正),第二百八十九条,双方当事人和解的，公安机关、人民检察院、人民法院应当听取当事人和其他有关人员的意见，对和解的自愿性、合法性进行审查，并主持制作和解协议书。,现行有效,法律,法律,中央,20181026,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5187759def3ba263633f6ba6c37a91a3?text=289,5187759def3ba263633f6ba6c37a91a3_289,5187759def3ba263633f6ba6c37a91a3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",0.405823656,1
中华人民共和国企业破产法,第九十九条,　和解协议草案经债权人会议表决未获得通过，或者已经债权人会议通过的和解协议未获得人民法院认可的，人民法院应当裁定终止和解程序，并宣告债务人破产。,现行有效,法律,法律,中央,20070601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/edc144491d993b86dd539946ab50468a?text=99,edc144491d993b86dd539946ab50468a_99,edc144491d993b86dd539946ab50468a,"['财税##司法及单行法律专题法规', '财税', '企业法', '企业法##破产清算', '上市公司法', '上市公司法##上市公司', '财税##司法及单行法律专题法规##破产法']",0.37195544399999997,1
最高人民法院发布12起人民法院助力中小微企业发展典型案例,,同年9月13日，南京破产法庭组织债务人、公司股东、职工代表及债权人代表进行听证，对和解程序及相关协议的债务清偿方案、信用修复、协议执行等内容进行充分论证，公司股东、职工代表及债权人代表均表示同意某高新技术公司转入和解程序。9月14日，南京破产法庭裁定某高新技术公司和解。9月22日，南京破产法庭裁定认可和解协议并终止和解程序。11月3日，管理人提交和解协议执行情况报告，和解协议清偿方案已顺利执行完毕。　　【典型意义】 人民法院在办理中小微企业破产案件中，针对中小微企业的特点，积极创新，尽可能帮助企业高质、高效实现重整、和解，公平有序清偿各方债权。南京破产法庭在本案中探索运用预表决规则，在转入和解程序前，指导管理人向全体债权人征询对和解协议草案及后续转入和解程序后表决规则的意见，准确了解债权人意愿，在全体债权人均同意和解协议草案的情况下，转入和解程序，并根据已通过的表决规则，及时裁定认可和解协议并终止和解程序，从申请转入和解程序，经审查批准并最终裁定认可和解协议、终结和解程序，用时不到1个月，高效推进和解程序，帮助企业成功实现和解，走出困境。,现行有效,司法解释,指导案例,,20220419,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fac447ecb89096882f7d5ccc6c7f0d5f,,fac447ecb89096882f7d5ccc6c7f0d5f,[],0.3615111,2
最高人民法院关于通知中国国际经济贸易仲裁委员会对[2003]贸仲裁字第0398号案件重新仲裁的请示的复函,,　　2003年4月13日，美国ICI公司与大连水产公司签订《和解协议》，在该协议中约定：双方一致同意将本《和解协议》提交仲裁委员会，请求该会按照现行有效仲裁规则，在北京提请仲裁，双方共同指定该会穆子砺为独任仲裁员组成仲裁庭，按照该会仲裁规则中的简易程序进行书面审理，并以快捷方式按照本《和解协议》的内容作出裁决。　　2003年4月15日，双方签订《＜和解协议＞补充修改协议》，将部分条款进行修改，并约定协议为2003年4月13日签订的《和解协议》的组成部分并受该协议中仲裁条款的约束。　　2003年4月16日，大连水产公司出具致仲裁委员会的《同意函》，同意仲裁委员会以快捷的方式按照和解协议内容作出裁决。　　2003年12月17日，美国ICI公司向仲裁委员会提起仲裁申请，要求仲裁委员会按照双方签订的《和解协议》作出裁决。　　2003年12月26日，仲裁委员会向大连水产公司发出仲裁通知及组庭通知，称：根据双方在《和解协议》中的约定，本案适用本会2000年10月1日起施行的仲裁规则中的简易程序，穆子砺接受双方的共同指定，成立仲裁庭，对本案进行书面审理，并将以快捷方式根据《和解协议》的内容作出裁决。,现行有效,司法解释,司法解释性质文件,中央,20050321,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/deed840d96c0bfe19fd3ab378afb63ba,,deed840d96c0bfe19fd3ab378afb63ba,[],0.3559851,2
