标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
最高人民法院印发《关于加强和规范裁判文书释法说理的指导意见》的通知六、,最高人民法院印发《关于加强和规范裁判文书释法说理的指导意见》的通知,最高人民法院印发《关于加强和规范裁判文书释法说理的指导意见》的通知六、,六、,裁判文书应当结合庭审举证、质证、法庭辩论以及法庭调查核实证据等情况，重点针对裁判认定的事实或者事实争点进行释法说理。依据间接证据认定事实时，应当围绕间接证据之间是否存在印证关系、是否能够形成完整的证明体系等进行说理。采用推定方法认定事实时，应当说明推定启动的原因、反驳的事实和理由，阐释裁断的形成过程。,现行有效,司法解释,最高人民法院,2018-06-13,法发[2018]10号,2018-06-01,两高工作文件, - 《最高人民法院印发《关于加强和规范裁判文书释法说理的指导意见》的通知》六、##裁判文书应当结合庭审举证、质证、法庭辩论以及法庭调查核实证据等情况，重点针对裁判认定的事实或者事实争点进行释法说理。依据间接证据认定事实时，应当围绕间接证据之间是否存在印证关系、是否能够形成完整的证明体系等进行说理。采用推定方法认定事实时，应当说明推定启动的原因、反驳的事实和理由，阐释裁断的形成过程。,31.427513,6,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3f7d0811144b7133436e03be3826f2ec?text=6,3f7d0811144b7133436e03be3826f2ec,3f7d0811144b7133436e03be3826f2ec_6
最高人民法院关于审理垄断民事纠纷案件适用法律若干问题的解释第三十四条,最高人民法院关于审理垄断民事纠纷案件适用法律若干问题的解释,最高人民法院关于审理垄断民事纠纷案件适用法律若干问题的解释第三十四条,第三十四条,"依据反垄断法第二十四条第一款第二项、第三项被推定共同具有市场支配地位的经营者，有证据证明具有下列情形之一，反驳上述推定的，人民法院应予支持：
（一）该两个以上经营者之间不具有行为一致性且存在实质性竞争；
（二）该两个以上经营者作为整体在相关市场受到来自其他经营者的有效竞争约束。",现行有效,司法解释,最高人民法院,2024-07-01,法释〔2024〕6号,2024-06-24,高法司法解释," - 《最高人民法院关于审理垄断民事纠纷案件适用法律若干问题的解释》第三十四条##依据反垄断法第二十四条第一款第二项、第三项被推定共同具有市场支配地位的经营者，有证据证明具有下列情形之一，反驳上述推定的，人民法院应予支持：
（一）该两个以上经营者之间不具有行为一致性且存在实质性竞争；
（二）该两个以上经营者作为整体在相关市场受到来自其他经营者的有效竞争约束。",31.332472,34,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f300ef17f7532030ac63455ebf5f0cb9?text=34,f300ef17f7532030ac63455ebf5f0cb9,f300ef17f7532030ac63455ebf5f0cb9_34
最高人民法院关于民事诉讼证据的若干规定(2019修正)第十条,最高人民法院关于民事诉讼证据的若干规定(2019修正),最高人民法院关于民事诉讼证据的若干规定(2019修正)第十条,第十条,"　下列事实，当事人无须举证证明： 
　　（一）自然规律以及定理、定律； 
　　（二）众所周知的事实； 
　　（三）根据法律规定推定的事实； 
　　（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
　　（五）已为仲裁机构的生效裁决所确认的事实； 
　　（六）已为人民法院发生法律效力的裁判所确认的基本事实； 
　　（七）已为有效公证文书所证明的事实。 
　　前款第二项至第五项事实，当事人有相反证据足以反驳的除外；第六项、第七项事实，当事人有相反证据足以推翻的除外。",现行有效,司法解释,最高人民法院,2020-05-01,法释[2019]19号,2019-12-25,高法司法解释," - 《最高人民法院关于民事诉讼证据的若干规定(2019修正)》第十条##　下列事实，当事人无须举证证明： 
　　（一）自然规律以及定理、定律； 
　　（二）众所周知的事实； 
　　（三）根据法律规定推定的事实； 
　　（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
　　（五）已为仲裁机构的生效裁决所确认的事实； 
　　（六）已为人民法院发生法律效力的裁判所确认的基本事实； 
　　（七）已为有效公证文书所证明的事实。 
　　前款第二项至第五项事实，当事人有相反证据足以反驳的除外；第六项、第七项事实，当事人有相反证据足以推翻的除外。",30.44571,10,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693?text=10,21d0c4b7c7833b78c7217600f2be8693,21d0c4b7c7833b78c7217600f2be8693_10
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)第九十三条,最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)第九十三条,第九十三条,"　下列事实，当事人无须举证证明： 
（一）自然规律以及定理、定律； 
（二）众所周知的事实； 
（三）根据法律规定推定的事实； 
（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
（五）已为人民法院发生法律效力的裁判所确认的事实； 
（六）已为仲裁机构生效裁决所确认的事实； 
（七）已为有效公证文书所证明的事实。 
前款第二项至第四项规定的事实，当事人有相反证据足以反驳的除外；第五项至第七项规定的事实，当事人有相反证据足以推翻的除外。",现行有效,司法解释,最高人民法院,2022-04-10,法释〔2022〕11号,2022-04-01,高法司法解释," - 《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)》第九十三条##　下列事实，当事人无须举证证明： 
（一）自然规律以及定理、定律； 
（二）众所周知的事实； 
（三）根据法律规定推定的事实； 
（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
（五）已为人民法院发生法律效力的裁判所确认的事实； 
（六）已为仲裁机构生效裁决所确认的事实； 
（七）已为有效公证文书所证明的事实。 
前款第二项至第四项规定的事实，当事人有相反证据足以反驳的除外；第五项至第七项规定的事实，当事人有相反证据足以推翻的除外。",30.441753,93,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=93,a8be8255398ec3a38327e8f07ecd18a0,a8be8255398ec3a38327e8f07ecd18a0_93
最高人民法院关于修改《关于民事诉讼证据的若干规定》的决定(2019)十一、,最高人民法院关于修改《关于民事诉讼证据的若干规定》的决定(2019),最高人民法院关于修改《关于民事诉讼证据的若干规定》的决定(2019)十一、,十一、,"将第九条改为第十条，修改为： 
　　“下列事实，当事人无须举证证明： 
　　（一）自然规律以及定理、定律； 
　　（二）众所周知的事实； 
　　（三）根据法律规定推定的事实； 
　　（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
　　（五）已为仲裁机构的生效裁决所确认的事实； 
　　（六）已为人民法院发生法律效力的裁判所确认的基本事实； 
　　（七）已为有效公证文书所证明的事实。 
　　前款第二项至第五项事实，当事人有相反证据足以反驳的除外；第六项、第七项事实，当事人有相反证据足以推翻的除外”。",现行有效,司法解释,最高人民法院,2020-05-01,法释[2019]19号,2019-12-25,修改、废止的决定," - 《最高人民法院关于修改《关于民事诉讼证据的若干规定》的决定(2019)》十一、##将第九条改为第十条，修改为： 
　　“下列事实，当事人无须举证证明： 
　　（一）自然规律以及定理、定律； 
　　（二）众所周知的事实； 
　　（三）根据法律规定推定的事实； 
　　（四）根据已知的事实和日常生活经验法则推定出的另一事实； 
　　（五）已为仲裁机构的生效裁决所确认的事实； 
　　（六）已为人民法院发生法律效力的裁判所确认的基本事实； 
　　（七）已为有效公证文书所证明的事实。 
　　前款第二项至第五项事实，当事人有相反证据足以反驳的除外；第六项、第七项事实，当事人有相反证据足以推翻的除外”。",30.44169,11,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/96120d688e5478166dc1f2c48e6cc14c?text=11,96120d688e5478166dc1f2c48e6cc14c,96120d688e5478166dc1f2c48e6cc14c_11
全国法院知识产权案件法律适用问题年度报告（2025）摘要38.,全国法院知识产权案件法律适用问题年度报告（2025）摘要,全国法院知识产权案件法律适用问题年度报告（2025）摘要38.,38.,品种同一性的认定【案号】（2024）最高法知民终1201号【裁判要旨】1.被诉侵权品种与授权品种是否具有同一性的判断，应当综合考虑在案全部证据及其证明力。在案证据能够证明被诉侵权品种与授权品种具有同一性的事实具有较大可能性，被诉侵权人不能提供育种来源等足以反驳的证据的，可以认定被诉侵权品种与授权品种具有同一性。2.被诉侵权品种使用的名称系授权品种名称的核心识别要素，且授权品种DUS测试报告记载的主要性状能够直接通过目测观察，而被诉侵权品种与授权品种的主要性状高度相似的，可以推定被诉侵权品种与授权品种具有同一性的可能性较大。,现行有效,司法解释,最高人民法院,2026-04-21,,2026-04-21,两高工作文件, - 《全国法院知识产权案件法律适用问题年度报告（2025）摘要》38.##品种同一性的认定【案号】（2024）最高法知民终1201号【裁判要旨】1.被诉侵权品种与授权品种是否具有同一性的判断，应当综合考虑在案全部证据及其证明力。在案证据能够证明被诉侵权品种与授权品种具有同一性的事实具有较大可能性，被诉侵权人不能提供育种来源等足以反驳的证据的，可以认定被诉侵权品种与授权品种具有同一性。2.被诉侵权品种使用的名称系授权品种名称的核心识别要素，且授权品种DUS测试报告记载的主要性状能够直接通过目测观察，而被诉侵权品种与授权品种的主要性状高度相似的，可以推定被诉侵权品种与授权品种具有同一性的可能性较大。,28.937265,38,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e2ab9c2936ddb0b09904bb378065be24?text=38,e2ab9c2936ddb0b09904bb378065be24,e2ab9c2936ddb0b09904bb378065be24_38
郑州市中级人民法院民事案件证据审查与事实认定指引25.,郑州市中级人民法院民事案件证据审查与事实认定指引,郑州市中级人民法院民事案件证据审查与事实认定指引25.,25.,推定。推定是连接基础事实和案件事实的桥梁，根据法律规定或已知的基础事实，推知和确定案件事实的存在，但推定并不是绝对的结论，具有可反驳性，允许对方举证推翻。,现行有效,地方司法文件,郑州市中级人民法院,2026-04,,2026-04,地方司法文件, - 《郑州市中级人民法院民事案件证据审查与事实认定指引》25.##推定。推定是连接基础事实和案件事实的桥梁，根据法律规定或已知的基础事实，推知和确定案件事实的存在，但推定并不是绝对的结论，具有可反驳性，允许对方举证推翻。,27.517666,25,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/98c0932ee9dd0f42fa3caebc86cc5b3c?text=25,98c0932ee9dd0f42fa3caebc86cc5b3c,98c0932ee9dd0f42fa3caebc86cc5b3c_25
鸡西市人民政府印发鸡西市人民政府行政复议工作规则的通知第四十八条,鸡西市人民政府印发鸡西市人民政府行政复议工作规则的通知,鸡西市人民政府印发鸡西市人民政府行政复议工作规则的通知第四十八条,第四十八条,"　以下证据，当事人无足够的反驳证据材料，可以直接认定：　 
（一）众所周知的事实； 
（二）按照法律规定推定的事实； 
（三）自然规律及定理； 
（四）已经依法证明的事实； 
（五）根据实践经验推定的事实。",现行有效,地方政府规章,鸡西市人民政府,2017-05-01,,2017-04-14,地方政府规章," - 《鸡西市人民政府印发鸡西市人民政府行政复议工作规则的通知》第四十八条##　以下证据，当事人无足够的反驳证据材料，可以直接认定：　 
（一）众所周知的事实； 
（二）按照法律规定推定的事实； 
（三）自然规律及定理； 
（四）已经依法证明的事实； 
（五）根据实践经验推定的事实。",26.945717,48,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/706cf82a84832f15721685941bed7d6e?text=48,706cf82a84832f15721685941bed7d6e,706cf82a84832f15721685941bed7d6e_48
律师办理走私刑事案件辩护业务操作指引（2026）（试行）第六十四条,律师办理走私刑事案件辩护业务操作指引（2026）（试行）,律师办理走私刑事案件辩护业务操作指引（2026）（试行）第六十四条,第六十四条,"司法实践中，无法证明行为人“知道”的情况下，具有下列情形之一的，可以推定系“应当知道”，亦认定为“明知”，但有证据证明确属被蒙骗的除外：
（一）逃避海关监管，运输、携带、邮寄国家禁止进出境的货物、物品的；
（二）用特制的设备或者运输工具走私货物、物品的；
（三）未经海关同意，在非设关的码头、海（河）岸、陆路边境等地点，运输（驳载）、收购或者贩卖非法进出境货物、物品的；
（四）提供虚假的合同、发票、证明等商业单证委托他人办理通关手续的；
（五）以明显低于货物正常进（出）口的应缴税额委托他人代理进（出）口业务的；
（六）曾因同一种走私行为受过刑事处罚或者行政处罚的；
（七）其他有证据证明的情形。
推定明知情形属于可反驳的情形，律师辩护时应该充分收集有利证据反驳主观故意的指控，争取辩护效果。",现行有效,地方律协规定,上海市律师协会,2025-12-30,,2025-12-30,," - 《律师办理走私刑事案件辩护业务操作指引（2026）（试行）》第六十四条##司法实践中，无法证明行为人“知道”的情况下，具有下列情形之一的，可以推定系“应当知道”，亦认定为“明知”，但有证据证明确属被蒙骗的除外：
（一）逃避海关监管，运输、携带、邮寄国家禁止进出境的货物、物品的；
（二）用特制的设备或者运输工具走私货物、物品的；
（三）未经海关同意，在非设关的码头、海（河）岸、陆路边境等地点，运输（驳载）、收购或者贩卖非法进出境货物、物品的；
（四）提供虚假的合同、发票、证明等商业单证委托他人办理通关手续的；
（五）以明显低于货物正常进（出）口的应缴税额委托他人代理进（出）口业务的；
（六）曾因同一种走私行为受过刑事处罚或者行政处罚的；
（七）其他有证据证明的情形。
推定明知情形属于可反驳的情形，律师辩护时应该充分收集有利证据反驳主观故意的指控，争取辩护效果。",26.74427,64,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a7fafa2ab181c23ef1f62d4c1a54af9f?text=64,a7fafa2ab181c23ef1f62d4c1a54af9f,a7fafa2ab181c23ef1f62d4c1a54af9f_64
最高人民法院关于发布第49批指导性案例的通知一、,最高人民法院关于发布第49批指导性案例的通知,最高人民法院关于发布第49批指导性案例的通知一、,一、,"沃某模具公司侵害了案涉软件著作权
　　根据《中华人民共和国著作权法》（2010年修正）第十条、第四十八条的规定，复制权是指以印刷、复印、拓印、录音、录像、翻录、翻拍等方式将作品制作一份或者多份的权利。未经著作权人许可复制其作品的，除另有规定外，应当承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任。
　　本案中，广州知识产权法院根据证据保全的情况，已经查明沃某模具公司的17台保全电脑中，有9台电脑显示了13套NX系列计算机软件的版权信息和版本信息，部分软件显示版权人即为西某软件公司，显示版本号为NX8的有8套，NX10的有2套，NX11的有2套，NX12的有1套。在现有证据能够证明被诉侵权软件与西某软件公司案涉软件高度近似（包括具有相同名称、版本号及版权人信息）的情况下，无需进行软件代码比对即可以推定沃某模具公司复制了西某软件公司享有著作权的案涉软件，此时沃某模具公司应当提供相应反证以反驳。但是，沃某模具公司并未提供证据证明其购买过案涉软件，亦未就其安装的被诉侵权软件与西某软件公司享有著作权的案涉软件有何区别提供证据或者作出合理说明，且沃某模具公司亦承认被诉侵权软件是其员工从网上下载。综上，可以认定沃某模具公司未经西某软件公司许可，复制了案涉软件，侵害了西某软件公司的著作权。",现行有效,司法解释,最高人民法院,2026-02-26,法〔2026〕26号,2026-02-26,指导案例," - 《最高人民法院关于发布第49批指导性案例的通知》一、##沃某模具公司侵害了案涉软件著作权
　　根据《中华人民共和国著作权法》（2010年修正）第十条、第四十八条的规定，复制权是指以印刷、复印、拓印、录音、录像、翻录、翻拍等方式将作品制作一份或者多份的权利。未经著作权人许可复制其作品的，除另有规定外，应当承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任。
　　本案中，广州知识产权法院根据证据保全的情况，已经查明沃某模具公司的17台保全电脑中，有9台电脑显示了13套NX系列计算机软件的版权信息和版本信息，部分软件显示版权人即为西某软件公司，显示版本号为NX8的有8套，NX10的有2套，NX11的有2套，NX12的有1套。在现有证据能够证明被诉侵权软件与西某软件公司案涉软件高度近似（包括具有相同名称、版本号及版权人信息）的情况下，无需进行软件代码比对即可以推定沃某模具公司复制了西某软件公司享有著作权的案涉软件，此时沃某模具公司应当提供相应反证以反驳。但是，沃某模具公司并未提供证据证明其购买过案涉软件，亦未就其安装的被诉侵权软件与西某软件公司享有著作权的案涉软件有何区别提供证据或者作出合理说明，且沃某模具公司亦承认被诉侵权软件是其员工从网上下载。综上，可以认定沃某模具公司未经西某软件公司许可，复制了案涉软件，侵害了西某软件公司的著作权。",26.523075,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/edbe5b6b235998bc8b6c13cb24bcbb99?text=1,edbe5b6b235998bc8b6c13cb24bcbb99,edbe5b6b235998bc8b6c13cb24bcbb99_1
