requirement_id,group,practice_question,formalization_class,proposed_formal_target,legal_or_semantic_preconditions,external_validation_obligation,proof_family_ids,task_ids,minimal_counterexample_test,proof_status
D001,01 接案、问题与主体识别,咨询属于什么法律主题，是否存在多个并列问题？,语义/经验混合（仍有必证结构）,topics(out)⊆Topics_scope；每个已确认并列争点有唯一需求对象，未分类段落进入residual,议题分类表与范围由任务与法律研究确定，不能由分类器输出自定,自然语言多议题召回及误分类率,M01;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T22;T24,同一咨询含欠款与名誉请求，不能因主主题只报一个,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D002,01 接案、问题与主体识别,材料反映民事还是刑事性质，标签是否足以支持该判断？,语义/经验混合（仍有必证结构）,route(s)允许民事、刑事、并行或待定；分类不得自动改变准入事实,法域/阶段及竞合路由政策明确；民刑不是互斥穷尽标签,案情性质判断需法律审核,M04;M07;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T22;T24,同一行为同时涉民事责任与犯罪线索，不强制二选一,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D003,01 接案、问题与主体识别,谁是原告、被告、承包人、借款人、保证人或非诉交易主体？,法律条件计算优先（须显式政策）,"Role(person,matter,stage)的每个绑定都有出处；主体、角色、名称为不同类型",经核对的身份依据与文本角色解释,同名人物、代表人及角色抽取,M01;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T22;T24,法定代表人签字不得自动变成其个人承担全部公司债务,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D004,01 接案、问题与主体识别,同一案件中每名被告对应哪些行为、罪名及处分？,法律条件计算优先（须显式政策）,逐被告结果图的边均保留同一actor_id、行为集合和案件；整案正确=所有必查映射正确,参与、共同犯罪及归责规则另行准入,行为人与行为对应是否真实,M01;M06;M08;M16,EXT03;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T05;T06;T16;T17;T18;T19;T22;T24,交换两被告刑期而整案平均不变，检查仍须失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D005,01 接案、问题与主体识别,公司全称、简称、曾用名与登记代码能否一致解析？,机械精化优先（给定结构输入）,对固定登记快照，规范主体键连接和别名解析与独立查表语义相同,统一代码、别名有效期、实体合并依据已核对,登记数据更新与错误修复,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,同名异码不合并；更名前后同码按时间处理,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D006,01 接案、问题与主体识别,自然人、公司、关联方与代表人是否被混同？,法律条件计算优先（须显式政策）,自然人、法人、关联、代表关系不等同于身份相等；责任边须经明确规则生成,人格、代理及穿透规则经法律解释,共同地址/股东事实与人格混同评价,M01;M11;M16,EXT04;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T09;T22;T24,两公司同地址不能由等号传播成同一债务人,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D007,01 接案、问题与主体识别,法院代字、法院级别与管辖机关信息如何关联？,机械精化优先（给定结构输入）,法院代字到机构和级别的查表结果正确；管辖判断使用另外的适用规则,机构有效期、管辖法源与事件地等前提已准入,机构数据及时性与事实地点,M01;M02;M07;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T20;T22;T24,正确解析法院代字不等于该法院有管辖权,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D008,01 接案、问题与主体识别,某项请求针对谁、要求什么救济，而不是只提取关键词？,法律条件计算优先（须显式政策）,"Claim=(claimant,respondent,basis,object,remedy,scope)；保留请求之间关联与差异",谁主张对谁以及救济对象已确定或显式假设,诉求理解与最优请求选择,M01;M08;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,本金请求与担保责任请求不得共用无主体的金额字段,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D009,02 法源、解释与类案研究,指定法律概念和法条内容是什么，能否准确回到原文？,机械精化优先（给定结构输入）,quoted_span=source[start:end]；概念答案每个受保护命题绑定可回读出处,正式版本、定义范围和引文转码政策已选定,原文语义支持不是字节相等可独证,M02;M04;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T20;T22;T24,真实引文但引用错版本，版本检查须拒绝,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D010,02 法源、解释与类案研究,给定事实或场景涉及哪些法条，而非只给相似词？,语义/经验混合（仍有必证结构）,结果在已冻结规则库及候选解释中满足适用谓词；全适用声称需独立候选覆盖,规则与事实适用关系被明确编译,规则库之外的遗漏与文本解释,M02;M06;M08;M16,EXT03;EXT09;ROOT06;ROOT08;T01;T03;T05;T06;T16;T17;T18;T19;T20;T22;T24,只召回相似法条不能签全部适用法条证书,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D011,02 法源、解释与类案研究,规则是否发生变更，题目考查的是哪个历史版本？,法律条件计算优先（须显式政策）,"Applicable(v,eventTime,stage,transitionRule)；法效时间与登记时间分别保存",过渡条款、溯及力和持续事件政策明确,官方修订和废止状态核验,M02;M10;M16,EXT09;ROOT06;ROOT08;T01;T03;T08;T20;T22;T24,后上传旧文本不得按新上传日期当新法,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D012,02 法源、解释与类案研究,定义词、上下文与跨条引用怎样改变条款含义？,法律条件计算优先（须显式政策）,限定词、定义作用域与引用图的解释器保持语义；递归引用有明确不动点或拒绝路径,引用目标和例外解释经登记,语言歧义和隐含引用识别,M03;M04;M11;M16,EXT04;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T09;T16;T17;T18;T19;T22;T24,定义中排除关联方，主文不得重新无条件纳入,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D013,02 法源、解释与类案研究,哪件类案在定性、量刑或程序问题上相关？,语义/经验混合（仍有必证结构）,固定争点/语义下排序与指定score一致；类案迁移需相关特征保留见证,相关性维度、案件事实和规则解释固定,人工相关标签、外推与类比质量,M02;M06;M12;M16,EXT03;EXT06;EXT07;EXT09;ROOT06;ROOT08;T01;T03;T05;T06;T12;T13;T14;T15;T20;T22;T24,程序上相关但实体事实不同，不复制实体结论,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D014,02 法源、解释与类案研究,固定候选池重排与全库检索分别找到了什么、漏了什么？,机械精化优先（给定结构输入）,Returned⊆Relevant_D；只有覆盖D并完成判定才可声称Returned=Relevant_D,固定语料全集及独立相关性定义,开放网页和人工未标相关性的召回,M02;M16,EXT09;ROOT06;ROOT08;T01;T03;T20;T22;T24,100项pool全命中不能改写成全库无遗漏,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
