法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
人民检察院行政诉讼监督规则,第二十四条,  本规则第二十一条规定的相关法律文书是指人民法院在该案件诉讼过程中作出的全部判决书、裁定书、决定书、调解书等法律文书。,现行有效,司法解释,高检司法解释,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/266faf46e2ac61e44231e3248dbee06f?text=24,266faf46e2ac61e44231e3248dbee06f_24,266faf46e2ac61e44231e3248dbee06f,[],1.133627196,1
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第三百九十一条,"　民事诉讼法第二百零七条第十二项规定的法律文书包括： 
（一）发生法律效力的判决书、裁定书、调解书； 
（二）发生法律效力的仲裁裁决书； 
（三）具有强制执行效力的公证债权文书。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=391,a8be8255398ec3a38327e8f07ecd18a0_391,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.08313152,1
最高人民检察院关于印发最高人民检察院第四十批指导性案例的通知,,"　　《中华人民共和国煤炭法》（2016年修正）第二十一条、第二十二条第一款、第二十六条
　　《中华人民共和国土地管理法》（2004年修正）第七十四条、第七十六条第一款、第八十一条（现为2019年修正后的第七十五条、第七十七条第一款、第八十二条）
　　《中华人民共和国森林法》（2009年修正）第十五条第一、三款、第十八条第一款、第四十四条第一款（现为2019年修订后的第十五条第三款、第三十七条、第七十四条第一款）
　　《中华人民共和国固体废物污染环境防治法》（2016年修正）第十七条第一款（现为2020年修订后的第二十条第一款）
　　《安全生产许可证条例》（2014年施行）第三条第三款、第四款
　　《风景名胜区条例》（2016年施行）第二十六条
　　《中华人民共和国矿产资源法实施细则》（1994年施行）第八条第二款、第四款
　　《最高人民法院、最高人民检察院关于检察公益诉讼案件适用法律若干问题的解释》（2018年施行）第二十一条第一款（现为2020年修正后的第二十一条第一款）
　　《人民检察院检察建议工作规定》第十一条（2019年施行）",现行有效,司法解释,指导案例,,20220919,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3e186ed1de83c835e0418e9784dfb207,,3e186ed1de83c835e0418e9784dfb207,[],0.9488303999999999,2
国务院办公厅关于做好法律清理工作的通知,第二条,三是法律条文中引用的其他法律的内容或者条文序号已经发生变化，需要重新明确法律规定之间的衔接关系。　　(三)法律操作性不强，难以用国家强制力来保证实施的。一是一些法律规定制定时受客观条件限制，只作了很原则的规定，难以操作，经过一段时间实践已经有条件对该规定进行细化。二是法律作了禁止性规定，但未规定相应的法律责任，需要对此作出规定的。　　各部门在清理工作中发现还有其他问题的，可以一并予以梳理和研究。,现行有效,行政法规,国务院规范性文件,中央,20080808,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/78c8fba02cdb3389ad27a44c08a85d74?text=2,78c8fba02cdb3389ad27a44c08a85d74_2,78c8fba02cdb3389ad27a44c08a85d74,[],0.9485868700000001,1
新闻出版总署立法程序规定,第十三条,"　法律、行政法规、规章根据内容需要，可以分为章、节、条、款、项、目。章、节、条的序号用中文数字依次表述，款不编序号，项的序号用中文数字加括号依次表述，目的序号用阿拉伯数字依次表述。 
规范性文件一般用条文形式表述。除内容复杂的外，一般不分章、节。",现行有效,部门规章,部门规章,中央,20090601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4c4e1a81dd7201160eb6586d4293be86?text=13,4c4e1a81dd7201160eb6586d4293be86_13,4c4e1a81dd7201160eb6586d4293be86,[],0.7931618200000001,1
中国人民银行规章制定程序与管理规定,第十四条,　规章应当采用条文形式，一般包括制定目的和依据、适用范围、职责分工、具体规范、法律责任、解释权、施行日期等内容。条文较多的规章可以区分章节。,现行有效,部门规章,部门规章,中央,20181101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ff7dd7cf0e97d066b004895a0400243f?text=14,ff7dd7cf0e97d066b004895a0400243f_14,ff7dd7cf0e97d066b004895a0400243f,[],0.7050703330000001,1
能源部法规工作程序暂行规定,第十二条,"　法规的内容一般用条文表达，每条可分为款、项、目。款不冠数字，项和目冠数字。内容较多的，可以分章，章下设节。 
法规应当条理清楚、结构严谨、用词准确、文字简明、标点符号正确。",现行有效,部门规章,部门规章,中央,19891122,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/959a9eb3b9a964651d9153e40ca22db9?text=12,959a9eb3b9a964651d9153e40ca22db9_12,959a9eb3b9a964651d9153e40ca22db9,[],0.6041060300000001,1
财政部关于印发《财政部规范性文件制定管理办法》的通知,第二十四条,"　条法司对规范性文件文稿进行审核，应当在10个工作日内完成，但需要补充论证的除外。 
对本办法第十六条规定的规范性文件文稿的审核，应当在5个工作日内完成。",现行有效,部门规章,部门规范性文件,,20130929,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/77a9a74eaf8470e2bfb4fc3df4c5319e?text=24,77a9a74eaf8470e2bfb4fc3df4c5319e_24,77a9a74eaf8470e2bfb4fc3df4c5319e,"['财税##财政法规', '财税']",0.5777215400000001,1
最高人民法院办公厅关于印发修改后的《民事申请再审案件诉讼文书样式》的通知(2012),,"　　（四）第一次引用法律或司法解释的，应写明全称并注明简称，如《中华人民共和国合同法》（以下简称合同法），此后使用该简称不加书名号。引用次数很少的法律或司法解释不必使用简称。　　（五）引用法律法规条文，应当用汉字注明条文序号，如《中华人民共和国合同法》第六十六条。引用司法解释，司法解释条文序号使用汉字的，用汉字注明条文序号，如《最高人民法院关于适用＜中华人民共和国合同法＞若干问题的解释（二）》第十条；司法解释条文序号使用阿拉伯数字的，用阿拉伯数字注明条文序号，如《最高人民法院关于适用＜中华人民共和国民事诉讼法＞若干问题的意见》第1条。　　（六）五位及五位以上的阿拉伯数字，数字应当连续写，数字中间不加空格或分节号，如123456元；尾数零多的，可以改写为以万、亿作单位的数，如100000元可以写作10万元。一个用阿拉伯数字书写的多位数不能移行。　　本规定自公布之日起施行。　　附件2
　　民事申请再审案件诉讼文书样式",现行有效,司法解释,司法解释性质文件,中央,20130101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ba22417585a6ab6a83b09c9d4d4ac296,,ba22417585a6ab6a83b09c9d4d4ac296,[],0.50786358,3
国家知识产权局规章制定程序规定,第六条,"规章用语应当准确、简洁，符合立法技术规范。条文内容应当明确、具体，具有可操作性。
规章内容复杂的，可以分章、节。必要时，可以有目录、注释、附录、索引等附加部分。",现行有效,部门规章,部门规章,中央,20250201,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/86cf22bfd90b764b556e3f5c42f47d98?text=6,86cf22bfd90b764b556e3f5c42f47d98_6,86cf22bfd90b764b556e3f5c42f47d98,[],0.476060684,1
