法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国律师法(2017修正),第三十八条,"　律师应当保守在执业活动中知悉的国家秘密、商业秘密，不得泄露当事人的隐私。 
律师对在执业活动中知悉的委托人和其他人不愿泄露的有关情况和信息，应当予以保密。但是，委托人或者其他人准备或者正在实施危害国家安全、公共安全以及严重危害他人人身安全的犯罪事实和信息除外。",现行有效,法律,法律,中央,20180101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7c554b7bb321c995cc40359407959051?text=38,7c554b7bb321c995cc40359407959051_38,7c554b7bb321c995cc40359407959051,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.1978021639999998,1
中华人民共和国香港特别行政区维护国家安全法,第六十三条,"　办理本法规定的危害国家安全犯罪案件的有关执法、司法机关及其人员或者办理其他危害国家安全犯罪案件的香港特别行政区执法、司法机关及其人员，应当对办案过程中知悉的国家秘密、商业秘密和个人隐私予以保密。 
担任辩护人或者诉讼代理人的律师应当保守在执业活动中知悉的国家秘密、商业秘密和个人隐私。 
配合办案的有关机构、组织和个人应当对案件有关情况予以保密。",现行有效,法律,法律,中央,20200630,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/784a3f2f4cc4b378e4fe2441b93bbecc?text=63,784a3f2f4cc4b378e4fe2441b93bbecc_63,784a3f2f4cc4b378e4fe2441b93bbecc,[],1.195096848,1
中华人民共和国行政诉讼法(2017修正),第三十二条,"　代理诉讼的律师，有权按照规定查阅、复制本案有关材料，有权向有关组织和公民调查，收集与本案有关的证据。对涉及国家秘密、商业秘密和个人隐私的材料，应当依照法律规定保密。 
当事人和其他诉讼代理人有权按照规定查阅、复制本案庭审材料，但涉及国家秘密、商业秘密和个人隐私的内容除外。",现行有效,法律,法律,中央,20170701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f8d68f2222d839c0d9972edcda1ac53?text=32,2f8d68f2222d839c0d9972edcda1ac53_32,2f8d68f2222d839c0d9972edcda1ac53,"['财税##其他法律法规##其他法律', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税##其他法律法规', '财税']",1.14854136,1
律师执业管理办法(2016修订),第四十三条,"　律师应当保守在执业活动中知悉的国家秘密、商业秘密，不得泄露当事人和其他人的个人隐私。 
律师对在执业活动中知悉的委托人和其他人不愿泄露的有关情况和信息，应当予以保密。但是，委托人或者其他人准备或者正在实施危害国家安全、公共安全以及严重危害他人人身安全的犯罪事实和信息除外。",现行有效,部门规章,部门规章,中央,20161101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e5502b906c6bbf1f0fb2031eff1181c6?text=43,e5502b906c6bbf1f0fb2031eff1181c6_43,e5502b906c6bbf1f0fb2031eff1181c6,[],1.098472595,1
律师和律师事务所违法行为处罚办法(2010),第二十二条,　律师违反保密义务规定，故意或者过失泄露在执业中知悉的国家秘密的，属于《律师法》第四十九条第九项规定的“泄露国家秘密的”违法行为。,现行有效,部门规章,部门规章,中央,20100601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fad94deae0932da4f8500d4f276485d4?text=22,fad94deae0932da4f8500d4f276485d4_22,fad94deae0932da4f8500d4f276485d4,"['财税##财政法规', '财税']",1.08984458,1
司法部关于律师担任政府法律顾问的若干规定,第九条,　担任政府法律顾问的律师，对其工作中接触、了解到的机密和不宜公开的情况，负有保守秘密的责任。,现行有效,部门规章,部门规章,中央,19891223,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e68b98d3eb29a449957c2c6cd174624c?text=9,e68b98d3eb29a449957c2c6cd174624c_9,e68b98d3eb29a449957c2c6cd174624c,[],1.080215136,1
办理法律援助案件程序规定(2023修订),第七条,法律援助机构、法律援助人员对提供法律援助过程中知悉的国家秘密、商业秘密和个人隐私应当予以保密。,现行有效,部门规章,部门规章,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7912263075a33d6e467a132263f95236?text=7,7912263075a33d6e467a132263f95236_7,7912263075a33d6e467a132263f95236,[],1.07520281,1
基层法律服务工作者管理办法(2017修订),第三十七条,　基层法律服务工作者应当保守在执业活动中知悉的国家秘密、商业秘密和个人隐私。,现行有效,部门规章,部门规章,中央,20180201,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f6d3e2137a249171c4f2f8a0e4d03cf0?text=37,f6d3e2137a249171c4f2f8a0e4d03cf0_37,f6d3e2137a249171c4f2f8a0e4d03cf0,[],1.0726178430000002,1
司法部关于律师担任企业法律顾问的若干规定,第十五条,　担任企业法律顾问的律师，对在工作中接触、了解到的有关企业生产、经营管理和对外联系活动中的业务秘密，负有保守秘密的责任。,现行有效,部门规章,部门规章,中央,19920615,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f88ddfe6f90525b38b7ce4c509ebef43?text=15,f88ddfe6f90525b38b7ce4c509ebef43_15,f88ddfe6f90525b38b7ce4c509ebef43,[],1.0694248400000002,1
公安机关办理刑事案件程序规定(2020修正),第五十七条,　辩护律师对在执业活动中知悉的委托人的有关情况和信息，有权予以保密。但是，辩护律师在执业活动中知悉委托人或者其他人，准备或者正在实施危害国家安全、公共安全以及严重危害他人人身安全的犯罪的，应当及时告知司法机关。,现行有效,部门规章,部门规章,中央,20200901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f0aad1334685ac1cae45a14a2e9cdc5b?text=57,f0aad1334685ac1cae45a14a2e9cdc5b_57,f0aad1334685ac1cae45a14a2e9cdc5b,[],1.0655467900000002,1
