法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,第六十四条,"当事人一方通过反诉或者抗辩的方式，请求调整违约金的，人民法院依法予以支持。
违约方主张约定的违约金过分高于违约造成的损失，请求予以适当减少的，应当承担举证责任。非违约方主张约定的违约金合理的，也应当提供相应的证据。
当事人仅以合同约定不得对违约金进行调整为由主张不予调整违约金的，人民法院不予支持。",现行有效,司法解释,高法司法解释,中央,20231205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=64,3132ac09bc31117a209bac1420cd14fd_64,3132ac09bc31117a209bac1420cd14fd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.017107676,1
最高人民法院关于适用《中华人民共和国民法典》时间效力的若干规定,第九条,民法典施行前订立的合同，提供格式条款一方未履行提示或者说明义务，涉及格式条款效力认定的，适用民法典第四百九十六条的规定。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/49c6d4e636e9987aed8f71bd345e74bb?text=9,49c6d4e636e9987aed8f71bd345e74bb_9,49c6d4e636e9987aed8f71bd345e74bb,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.995721672,1
最高人民检察院关于印发《贯彻实施民法典典型案例(第二批)》的通知,,"重庆市人民检察院第一分院于再审判决作出后，及时联系并回访某污水处理厂，积极督促政府及时兑现损害赔偿资金，双方就案款支付方式达成和解协议，有效解决了企业因政府合同违约产生巨额经济损失带来的经营困境，帮助民营企业快速适应发展需要成功转型经营，涉案企业目前已从污水治理企业转型为绿植盆栽养殖企业，并取得了较好的经营效果。　　【典型意义】
　　（一）检察机关在办案中应准确理解和把握国家政策调整对合同履行的影响，依法适用民法典关于合同解除的法律规定，保障守约方按照法定条件和程序解除合同。《民法典》第五百三十三条首次以立法形式对情势变更作出规定，吸收并完善了原《合同法》司法解释关于情势变更制度的适用条件。情势变更的认定需符合“订立合同时无法预见”，“发生合同成立后难以预见的客观情况变化”，正确理解和把握国家政策调整是否构成情势变更，应准确研判政策调整是否属于当事人在订立合同时无法预见的情形，该政策变化是否会导致合同目的无法实现或继续履行合同对一方当事人明显不公，厘清致合同不能履行之事实。在合同尚有履行可能且继续履行并未明显不公之情形下，应慎重和严格适用情势变更原则。",现行有效,司法解释,指导案例,,20231219,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e2c1df6e2f6d1c5f8de637798866c2ec,,e2c1df6e2f6d1c5f8de637798866c2ec,[],0.910427352,2
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,第六十六条,"当事人一方请求对方支付违约金，对方以合同不成立、无效、被撤销、确定不发生效力、不构成违约或者非违约方不存在损失等为由抗辩，未主张调整过高的违约金的，人民法院应当就若不支持该抗辩，当事人是否请求调整违约金进行释明。第一审人民法院认为抗辩成立且未予释明，第二审人民法院认为应当判决支付违约金的，可以直接释明，并根据当事人的请求，在当事人就是否应当调整违约金充分举证、质证、辩论后，依法判决适当减少违约金。
被告因客观原因在第一审程序中未到庭参加诉讼，但是在第二审程序中到庭参加诉讼并请求减少违约金的，第二审人民法院可以在当事人就是否应当调整违约金充分举证、质证、辩论后，依法判决适当减少违约金。",现行有效,司法解释,高法司法解释,中央,20231205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=66,3132ac09bc31117a209bac1420cd14fd_66,3132ac09bc31117a209bac1420cd14fd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.88413552,1
最高人民法院发布人民法院贯彻实施民法典典型案例(第二批),,"民法典之前的法律对债务加入未作规定，根据《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第三条，本案可以适用民法典关于债务加入的规定。故判决由姚某对62000元及利息承担还款责任，杨某昊对其中42000元及利息承担连带责任。　　（四）民法典条文指引
　　第五百五十二条　第三人与债务人约定加入债务并通知债权人，或者第三人向债权人表示愿意加入债务，债权人未在合理期限内明确拒绝的，债权人可以请求第三人在其愿意承担的债务范围内和债务人承担连带债务。　　七、北京某旅游公司诉北京某村民委员会等合同纠纷案
　　（一）典型意义
　　本案是人民法院准确适用民法典关于合同权利义务关系终止和违约责任承担等制度，依法妥善化解民事纠纷的典型案例。审理法院根据案件具体情况认定所涉案件事实不构成情势变更，防止市场主体随意以构成情势变更为由逃避合同规定的义务，同时考虑到合同已经丧失继续履行的现实可行性，依法终止合同权利义务关系。本案裁判有利于指引市场主体遵循诚信原则依法行使权利、履行义务，对于维护市场交易秩序、弘扬诚实守信的社会主义核心价值观具有积极意义。　　（二）基本案情",现行有效,司法解释,指导案例,,20230112,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/edbd718e87d2262bf7fef9e4de69d1b2,,edbd718e87d2262bf7fef9e4de69d1b2,[],0.8204835599999999,2
最高人民法院关于审理商品房买卖合同纠纷案件适用法律若干问题的解释(2020修正),第十二条,　当事人以约定的违约金过高为由请求减少的，应当以违约金超过造成的损失30％为标准适当减少；当事人以约定的违约金低于造成的损失为由请求增加的，应当以违约造成的损失确定违约金数额。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9a02e35d64e1f9d6debad492497b92ca?text=12,9a02e35d64e1f9d6debad492497b92ca_12,9a02e35d64e1f9d6debad492497b92ca,[],0.809889792,1
中华人民共和国民法典,第四百九十六条,"　格式条款是当事人为了重复使用而预先拟定，并在订立合同时未与对方协商的条款。 
　　采用格式条款订立合同的，提供格式条款的一方应当遵循公平原则确定当事人之间的权利和义务，并采取合理的方式提示对方注意免除或者减轻其责任等与对方有重大利害关系的条款，按照对方的要求，对该条款予以说明。提供格式条款的一方未履行提示或者说明义务，致使对方没有注意或者理解与其有重大利害关系的条款的，对方可以主张该条款不成为合同的内容。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=496,55dceb7d83a1c90e3fe9c141b1118193_496,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.6636632399999999,1
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,第十条,"提供格式条款的一方在合同订立时采用通常足以引起对方注意的文字、符号、字体等明显标识，提示对方注意免除或者减轻其责任、排除或者限制对方权利等与对方有重大利害关系的异常条款的，人民法院可以认定其已经履行民法典第四百九十六条第二款规定的提示义务。
提供格式条款的一方按照对方的要求，就与对方有重大利害关系的异常条款的概念、内容及其法律后果以书面或者口头形式向对方作出通常能够理解的解释说明的，人民法院可以认定其已经履行民法典第四百九十六条第二款规定的说明义务。
提供格式条款的一方对其已经尽到提示义务或者说明义务承担举证责任。对于通过互联网等信息网络订立的电子合同，提供格式条款的一方仅以采取了设置勾选、弹窗等方式为由主张其已经履行提示义务或者说明义务的，人民法院不予支持，但是其举证符合前两款规定的除外。",现行有效,司法解释,高法司法解释,中央,20231205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=10,3132ac09bc31117a209bac1420cd14fd_10,3132ac09bc31117a209bac1420cd14fd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.6542702399999999,1
最高人民法院关于发布第30批指导性案例的通知,,"　　各省、自治区、直辖市高级人民法院，解放军军事法院，新疆维吾尔自治区高级人民法院生产建设兵团分院：
　　经最高人民法院审判委员会讨论决定，现将北京隆昌伟业贸易有限公司诉北京城建重工有限公司合同纠纷案等六个案例（指导案例166-171号），作为第30批指导性案例发布，供在审判类似案件时参照。　　最高人民法院
　　2021年11月9日
　　指导案例166号　
　　北京隆昌伟业贸易有限公司诉北京城建重工有限公司合同纠纷案
　　（最高人民法院审判委员会讨论通过 2021年11月9日发布）
　　关键词　民事/合同纠纷/违约金调整/诚实信用原则
　　裁判要点
　　当事人双方就债务清偿达成和解协议，约定解除财产保全措施及违约责任。一方当事人依约申请人民法院解除了保全措施后，另一方当事人违反诚实信用原则不履行和解协议，并在和解协议违约金诉讼中请求减少违约金的，人民法院不予支持。　　相关法条
　　《中华人民共和国合同法》第6条、第114条（注：现行有效的法律为《中华人民共和国民法典》第7条、第585条）
　　基本案情",现行有效,司法解释,指导案例,,20211109,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0312e923971145d475e8a3739704b025,,0312e923971145d475e8a3739704b025,[],0.647253,2
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,第六十五条,"当事人主张约定的违约金过分高于违约造成的损失，请求予以适当减少的，人民法院应当以民法典第五百八十四条规定的损失为基础，兼顾合同主体、交易类型、合同的履行情况、当事人的过错程度、履约背景等因素，遵循公平原则和诚信原则进行衡量，并作出裁判。
约定的违约金超过造成损失的百分之三十的，人民法院一般可以认定为过分高于造成的损失。
恶意违约的当事人一方请求减少违约金的，人民法院一般不予支持。",现行有效,司法解释,高法司法解释,中央,20231205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=65,3132ac09bc31117a209bac1420cd14fd_65,3132ac09bc31117a209bac1420cd14fd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.61851528,1
