法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院发布人民法院贯彻实施民法典典型案例(第二批),,"民法典之前的法律对债务加入未作规定，根据《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第三条，本案可以适用民法典关于债务加入的规定。故判决由姚某对62000元及利息承担还款责任，杨某昊对其中42000元及利息承担连带责任。　　（四）民法典条文指引
　　第五百五十二条　第三人与债务人约定加入债务并通知债权人，或者第三人向债权人表示愿意加入债务，债权人未在合理期限内明确拒绝的，债权人可以请求第三人在其愿意承担的债务范围内和债务人承担连带债务。　　七、北京某旅游公司诉北京某村民委员会等合同纠纷案
　　（一）典型意义
　　本案是人民法院准确适用民法典关于合同权利义务关系终止和违约责任承担等制度，依法妥善化解民事纠纷的典型案例。审理法院根据案件具体情况认定所涉案件事实不构成情势变更，防止市场主体随意以构成情势变更为由逃避合同规定的义务，同时考虑到合同已经丧失继续履行的现实可行性，依法终止合同权利义务关系。本案裁判有利于指引市场主体遵循诚信原则依法行使权利、履行义务，对于维护市场交易秩序、弘扬诚实守信的社会主义核心价值观具有积极意义。　　（二）基本案情",现行有效,司法解释,指导案例,,20230112,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/edbd718e87d2262bf7fef9e4de69d1b2,,edbd718e87d2262bf7fef9e4de69d1b2,[],1.0235226,2
最高人民检察院关于印发《贯彻实施民法典典型案例(第二批)》的通知,,《民法典》对于违约责任单设一节，并对实际损失和可得利益损失均受可预见规则限制、非金钱债务履行不能时的司法终止等问题作出新的规定，需要法官准确适用，并对是否调整违约金的考量因素予以充分阐释。专项监督中发现，部分案件裁判文书“本院认为”部分仅作“根据公平原则和诚实信用原则予以酌定”等表述，未说明结论形成的过程及计算方法，有损裁判的可接受性。　　三是对同一类型案件裁判尺度不统一。对类似案件做到类似处理是提升司法公信力的必然要求。《民法典》从形式、内容、思想等立法层面解决了统一法律依据的问题，但由于法律适用层面的差异，导致司法实践中相关领域仍然存在“同案不同判”的问题。如涉及“循环贸易”类案件，部分法院采取形式交易认定标准，判决买卖合同有效、买受方支付货款；部分法院则采取实质交易认定标准，判决买卖合同无效并驳回买受方支付货款的诉求。再如农村房屋买卖合同确认无效后腾房类案件，在涉诉房屋尚不具备拆迁条件的情况下，部分法院判决腾房并参照周边地区区位补偿价确定补偿标准；部分法院则认为双方纠纷须待拆迁补偿政策出台后一并解决，驳回当事人的腾房诉讼请求。　　【检察机关履职过程】,现行有效,司法解释,指导案例,,20231219,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e2c1df6e2f6d1c5f8de637798866c2ec,,e2c1df6e2f6d1c5f8de637798866c2ec,[],1.014059328,2
中华人民共和国民法典,第五百八十二条,　履行不符合约定的，应当按照当事人的约定承担违约责任。对违约责任没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，受损害方根据标的的性质以及损失的大小，可以合理选择请求对方承担修理、重作、更换、退货、减少价款或者报酬等违约责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=582,55dceb7d83a1c90e3fe9c141b1118193_582,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.975975036,1
最高人民法院发布19起合同纠纷典型案例,,"逾期交付的违约责任约定为：逾期超过60日后，乙方要求继续履行合同的，合同继续履行，自本合同约定的最后交付期限的第二天起至实际交付之日止，甲方按日向乙方支付已付房价款万分之三的违约金，并于该商品房交付之日起30日内向乙方支付违约金。合同签订后，冉某、张某依约向某公司支付了全部购房款。合同履行过程中，某公司在未取得建设工程竣工验收备案登记的情况下，将一期工程竣工验收备案证的复制件粘贴到质量保证书和使用说明书上，于2011年12月10日将房屋交付给冉某、张某。经向有关部门核查，冉某、张某所购房屋竣工验收备案登记日期为2012年5月28日。冉某、张某认为开发商采取欺骗手段交房违约，按照合同约定应赔偿违约金，遂起诉至法院。　　（二）裁判结果
　　重庆市第四中级人民法院二审审理后认为开发商部分违约，遂判决开发商承担80%的违约责任，支付冉某、张某违约金14940.14元。　　（三）典型意义
　　本案争议焦点是：开发商以欺诈方式交房但未造成购房者实际损失的是否应当承担违约责任？诚实守信是市场经济活动的一项基本原则。民法通则第四条规定，民事活动应当遵循自愿、公平、等价有偿、诚实信用的原则。",现行有效,司法解释,指导案例,,20151204,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0574fae38b9f27e9d20f037eccb48135,,0574fae38b9f27e9d20f037eccb48135,[],0.9393942839999999,2
最高人民法院关于适用《中华人民共和国民法典》时间效力的若干规定,第九条,民法典施行前订立的合同，提供格式条款一方未履行提示或者说明义务，涉及格式条款效力认定的，适用民法典第四百九十六条的规定。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/49c6d4e636e9987aed8f71bd345e74bb?text=9,49c6d4e636e9987aed8f71bd345e74bb_9,49c6d4e636e9987aed8f71bd345e74bb,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.84596796,1
中华人民共和国民法典,第五百八十条,"　当事人一方不履行非金钱债务或者履行非金钱债务不符合约定的，对方可以请求履行，但是有下列情形之一的除外： 
　　（一）法律上或者事实上不能履行； 
　　（二）债务的标的不适于强制履行或者履行费用过高； 
　　（三）债权人在合理期限内未请求履行。 
　　有前款规定的除外情形之一，致使不能实现合同目的的，人民法院或者仲裁机构可以根据当事人的请求终止合同权利义务关系，但是不影响违约责任的承担。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=580,55dceb7d83a1c90e3fe9c141b1118193_580,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.762266916,1
最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正),第十四条,　义务人作出分期履行、部分履行、提供担保、请求延期履行、制定清偿债务计划等承诺或者行为的，应当认定为民法典第一百九十五条规定的义务人同意履行义务。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61a9873b704c9e2226f48b1b5779692a?text=14,61a9873b704c9e2226f48b1b5779692a_14,61a9873b704c9e2226f48b1b5779692a,[],0.709643196,1
中华人民共和国民法典,第五百七十八条,　当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=578,55dceb7d83a1c90e3fe9c141b1118193_578,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.7092182399999999,1
最高人民法院关于审理买卖合同纠纷案件适用法律问题的解释(2020修正),第二十二条,　买卖合同当事人一方违约造成对方损失，对方主张赔偿可得利益损失的，人民法院在确定违约责任范围时，应当根据当事人的主张，依据民法典第五百八十四条、第五百九十一条、第五百九十二条、本解释第二十三条等规定进行认定。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/72883c57715650274aa0db1488af523b?text=22,72883c57715650274aa0db1488af523b_22,72883c57715650274aa0db1488af523b,"['企业法##对外业务活动规范', '企业法']",0.7002712799999999,1
最高人民检察院发布6件检察机关依法履职推动社会主义核心价值观融入法治建设典型案例,,"　　陕西省人民检察院认为生效判决认定违约金过高予以调减，缺乏事实和法律依据，于2023年8月8日向陕西省高级人民法院提出抗诉。陕西省高级人民法院裁定指令宝鸡市中级人民法院再审该案。宝鸡市中级人民法院再审认为，双方当事人均系公司法人，具有远高于一般自然人的理性判断，能够预见和合理判断违约行为将产生的法律后果，且某发电公司未能举证证实约定的违约金过分高于实际损失，原审判决适用法律错误，结果不当，应予撤销。2023年12月25日，宝鸡市中级人民法院采纳抗诉意见，作出再审判决：撤销二审判决，维持一审判决。2024年1月8日，某发电公司履行再审判决确定的470220元违约金给付义务。　　【典型意义】
　　习近平总书记指出：“社会主义市场经济是信用经济、法治经济。”诚信原则被称为“帝王条款”，是民法基本原则之一。《中华人民共和国民法典》第七条规定：“民事主体从事民事活动，应当遵循诚信原则，秉持诚实，恪守承诺。”第五百零九条第一款规定：“当事人应当按照约定全面履行自己的义务”。诚信与法治是现代市场经济健康、高效、有序运行的基石，也是社会主义核心价值观的重要内容。",现行有效,司法解释,指导案例,,20251113,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/03010b9ecc3ce50ffd6b5833af3b4690,,03010b9ecc3ce50ffd6b5833af3b4690,[],0.69998646,2
