法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(二)(2020修正),第五条,"　人民法院审理解散公司诉讼案件，应当注重调解。当事人协商同意由公司或者股东收购股份，或者以减资等方式使公司存续，且不违反法律、行政法规强制性规定的，人民法院应予支持。当事人不能协商一致使公司存续的，人民法院应当及时判决。 
　　经人民法院调解公司收购原告股份的，公司应当自调解书生效之日起六个月内将股份转让或者注销。股份转让或者注销之前，原告不得以公司收购其股份为由对抗公司债权人。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4f155de579ffe697a244c38b026658c?text=5,b4f155de579ffe697a244c38b026658c_5,b4f155de579ffe697a244c38b026658c,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.16600604,1
最高人民法院关于王文祥诉马恩树、兖州市南郊水暖安装工程有限公司解散、清算公司一案应否受理的复函,,"　　最高人民法院关于王文祥诉马恩树、兖州市南郊 
　　水暖安装工程有限公司解散、清算公司一案应否受理的复函 
　　（2002年8月26日[2002]民立他字第1号） 
　　山东省高级人民法院： 
　　你院《关于人民法院能否受理公司解散和清算案件的请示》（鲁高法函〔2002〕1号）收悉。经研究，答复如下： 
　　《中华人民共和国公司法》未规定公司的司法解散程序。人民法院受理股东强制解散、清算公司的诉讼请求没有法律依据。依据《民事诉讼法》第一百零八条之规定，本案原告的诉讼请求不属人民法院的受案范围。 
　　",现行有效,司法解释,司法解释性质文件,中央,20020826,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b062130593067be01b97f3df0ee42337,,b062130593067be01b97f3df0ee42337,[],1.15537584,2
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(二)(2020修正),第一条,"　单独或者合计持有公司全部股东表决权百分之十以上的股东，以下列事由之一提起解散公司诉讼，并符合 公司法 第 一百八十二条 规定的，人民法院应予受理： 
　　（一）公司持续两年以上无法召开股东会或者股东大会，公司经营管理发生严重困难的； 
　　（二）股东表决时无法达到法定或者公司章程规定的比例，持续两年以上不能做出有效的股东会或者股东大会决议，公司经营管理发生严重困难的； 
　　（三）公司董事长期冲突，且无法通过股东会或者股东大会解决，公司经营管理发生严重困难的； 
　　（四）经营管理发生其他严重困难，公司继续存续会使股东利益受到重大损失的情形。 
　　股东以知情权、利润分配请求权等权益受到损害，或者公司亏损、财产不足以偿还全部债务，以及公司被吊销企业法人营业执照未进行清算等为由，提起解散公司诉讼的，人民法院不予受理。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4f155de579ffe697a244c38b026658c?text=1,b4f155de579ffe697a244c38b026658c_1,b4f155de579ffe697a244c38b026658c,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.15207524,1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(二)(2020修正),第六条,"　人民法院关于解散公司诉讼作出的判决，对公司全体股东具有法律约束力。 
　　人民法院判决驳回解散公司诉讼请求后，提起该诉讼的股东或者其他股东又以同一事实和理由提起解散公司诉讼的，人民法院不予受理。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4f155de579ffe697a244c38b026658c?text=6,b4f155de579ffe697a244c38b026658c_6,b4f155de579ffe697a244c38b026658c,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.14071364,1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(二)(2020修正),第二条,　股东提起解散公司诉讼，同时又申请人民法院对公司进行清算的，人民法院对其提出的清算申请不予受理。人民法院可以告知原告，在人民法院判决解散公司后，依据民法典第七十条、 公司法 第 一百八十三条 和本规定第七条的规定，自行组织清算或者另行申请人民法院对公司进行清算。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4f155de579ffe697a244c38b026658c?text=2,b4f155de579ffe697a244c38b026658c_2,b4f155de579ffe697a244c38b026658c,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.131134964,1
最高人民法院关于宁波永信汽车部件制造有限公司申请撤销宁波仲裁委员会甬仲裁字[2007]第44号裁决一案的请示报告的复函,,但是，就公司解散问题，当事人仅在公司章程第六十八条规定了自愿解散的情形，即“甲方、乙方和丙方三方如一致认为终止合资符合各方最大利益时，可提前终止合资。合资公司提前终止合资，需董事会召开全体会议做出决定，并报送宁海县对外贸易经济合作局批准。”而就公司司法解散问题并未在合同或其他文件中提及，因此，本案当事人就公司的司法解散是否提交仲裁并未达成仲裁协议。此外，根据《中华人民共和国公司法》第一百八十三条“公司经营管理发生严重困难，继续存续会使股东利益受到重大损失，通过其他途径不能解决的，持有公司全部股东表决权百分之十以上的股东，可以请求人民法院解散公司”的规定，解散公司的司法请求权依法只能向人民法院提出。因此，本案中，宁波仲裁委对韩国CEN- TRAL提出的解散合资公司的请求无权作出裁决。　　综上，拟同意宁波中院的处理意见，即依照《中华人民共和国仲裁法》第五十八条第一款第(一)、(二)项、第七十条、《中华人民共和国民事诉讼法》第二百五十八条第一款第(一)、(四)项之规定，撤销宁波仲裁委员会甬仲裁字[2007]第44号裁决第一项中“合资成立的宁波森特汽车部件有限公司解散，并依法组织清算。,现行有效,司法解释,司法解释性质文件,中央,20091029,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ecd36f136894ea3935bbfb7c56f98796,,ecd36f136894ea3935bbfb7c56f98796,[],1.11609372,2
最高人民法院关于印发《全国法院民商事审判工作会议纪要》的通知,第二十七条,【股东代表诉讼的调解】公司是股东代表诉讼的最终受益人，为避免因原告股东与被告通过调解损害公司利益，人民法院应当审查调解协议是否为公司的意思。只有在调解协议经公司股东（大）会、董事会决议通过后，人民法院才能出具调解书予以确认。至于具体决议机关，取决于公司章程的规定。公司章程没有规定的，人民法院应当认定公司股东（大）会为决议机关。,现行有效,司法解释,司法解释性质文件,中央,20191108,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3f953d84d43c09ccbde17c9a421ced79?text=27,3f953d84d43c09ccbde17c9a421ced79_27,3f953d84d43c09ccbde17c9a421ced79,"['财税##司法及单行法律专题法规', '财税', '财税##司法及单行法律专题法规##破产法']",1.02115764,1
中华人民共和国公司法(2023修订),第二百五十五条,　公司在合并、分立、减少注册资本或者进行清算时，不依照本法规定通知或者公告债权人的，由公司登记机关责令改正，对公司处以一万元以上十万元以下的罚款。,现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=255,4b6623ef5d58443a55a8a693226fc7a8_255,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.00386552,1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正),第十七条,"　有限责任公司的股东未履行出资义务或者抽逃全部出资，经公司催告缴纳或者返还，其在合理期间内仍未缴纳或者返还出资，公司以股东会决议解除该股东的股东资格，该股东请求确认该解除行为无效的，人民法院不予支持。 
　　在前款规定的情形下，人民法院在判决时应当释明，公司应当及时办理法定减资程序或者由其他股东或者第三人缴纳相应的出资。在办理法定减资程序或者其他股东或者第三人缴纳相应的出资之前，公司债权人依照本规定第十三条或者第十四条请求相关当事人承担相应责任的，人民法院应予支持。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cf6cf35d2ce11ed25911b9f67da2f423?text=17,cf6cf35d2ce11ed25911b9f67da2f423_17,cf6cf35d2ce11ed25911b9f67da2f423,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '上市公司法', '上市公司法##上市公司']",0.8568362399999999,1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(四)(2020修正),第二条,　依据民法典第八十五条、 公司法 第 二十二条 第 二款 请求撤销股东会或者股东大会、董事会决议的原告，应当在起诉时具有公司股东资格。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/48ebf11207a8b5d12d6b29842601f362?text=2,48ebf11207a8b5d12d6b29842601f362_2,48ebf11207a8b5d12d6b29842601f362,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '上市公司法', '上市公司法##上市公司']",0.70517676,1
