法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于发布第二批指导性案例的通知,,"苏州盐务局在依职权对鲁潍公司作出行政处罚时，虽然适用了《江苏盐业实施办法》，但是未遵循《立法法》第七十九条关于法律效力等级的规定，未依照《行政许可法》和《行政处罚法》的相关规定，属于适用法律错误，依法应予撤销。　　指导案例6号
　　黄泽富、何伯琼、何熠诉四川省成都市
　　金堂工商行政管理局行政处罚案
　　（最高人民法院审判委员会讨论通过　2012年4月9日发布）
　　关键词　行政诉讼　行政处罚　没收较大数额财产　听证程序
　　裁判要点
　　行政机关作出没收较大数额涉案财产的行政处罚决定时，未告知当事人有要求举行听证的权利或者未依法举行听证的，人民法院应当依法认定该行政处罚违反法定程序。　　相关法条
　　《中华人民共和国行政处罚法》第四十二条
　　基本案情
　　原告黄泽富、何伯琼、何熠诉称：被告四川省成都市金堂工商行政管理局（简称金堂工商局）行政处罚行为违法，请求人民法院依法撤销成工商金堂处字（2005）第02026号《行政处罚决定书》，返还电脑主机33台。",现行有效,司法解释,指导案例,,20120409,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8abc42b95bde4526b19e307641d689c2,,8abc42b95bde4526b19e307641d689c2,[],1.1833816799999999,2
中华人民共和国中国人民银行法(2003修正),第四十七条,　当事人对行政处罚不服的，可以依照《中华人民共和国行政诉讼法》的规定提起行政诉讼。,现行有效,法律,法律,中央,20040201,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/728ebbb06224beaf630cef877d2e9e61?text=47,728ebbb06224beaf630cef877d2e9e61_47,728ebbb06224beaf630cef877d2e9e61,[],1.17735684,1
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第八十三条,"　行政诉讼法第五十九条规定的罚款、拘留可以单独适用，也可以合并适用。 
对同一妨害行政诉讼行为的罚款、拘留不得连续适用。发生新的妨害行政诉讼行为的，人民法院可以重新予以罚款、拘留。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=83,b740a7aa6bdcd94a6cb099deeac811e6_83,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17638232,1
最高人民检察院发布2023年度十大行政检察典型案例,,"检察机关审查认为：根据《中华人民共和国行政处罚法》第五条的规定，行政处罚所适用的处罚种类和处罚幅度要与违法行为的性质、情节及社会危害程度相适应。某公司主观目的在于维修原球管，没有主观故意，亦积极配合调查，在纠正违法行为和社会危害性方面与广西某医院的情形一致。对比市食药监局对同一案件中球管使用单位某医院罚款数额，综合平衡考量两方当事人的处罚幅度，案涉罚款明显畸重，违反《中华人民共和国行政处罚法》规定的过罚相当和公正原则，被诉行政行为明显不当。检察机关依法提出抗诉。　　法院采纳检察机关的监督意见，依法改判并责令重新作出行政处罚决定。后某市市场监督管理局决定减轻处罚，处违法经营的医疗器械货值金额1倍罚款，即194227.35元。　　【典型意义】
　　检察机关在对行政处罚案件进行诉讼监督时，除了审查行政行为的合法性，还应对行政处罚的自由裁量是否符合过罚相当原则，进行合理性审查。对于法院裁判存在事实不清、确有错误的，检察机关应当依法监督，及时纠正错误裁判，督促行政机关统筹好执法工作和服务市场主体的关系，避免因行政处罚不当束缚企业发展，服务保障企业守法合规经营。",现行有效,司法解释,指导案例,,20240126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1976f062eecdec9f67a2170897f3b9f7,,1976f062eecdec9f67a2170897f3b9f7,[],1.172056392,2
中华人民共和国计量法(2018修正),第三十一条,　当事人对行政处罚决定不服的，可以在接到处罚通知之日起十五日内向人民法院起诉；对罚款、没收违法所得的行政处罚决定期满不起诉又不履行的，由作出行政处罚决定的机关申请人民法院强制执行。,现行有效,法律,法律,中央,20181026,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a7844919c9e29dc51e7642777e5e76e1?text=31,a7844919c9e29dc51e7642777e5e76e1_31,a7844919c9e29dc51e7642777e5e76e1,[],1.1715184799999998,1
中华人民共和国行政处罚法(2021修订),第五十九条,"　行政机关依照本法第五十七条的规定给予行政处罚，应当制作行政处罚决定书。行政处罚决定书应当载明下列事项： 
（一）当事人的姓名或者名称、地址； 
（二）违反法律、法规、规章的事实和证据； 
（三）行政处罚的种类和依据； 
（四）行政处罚的履行方式和期限； 
（五）申请行政复议、提起行政诉讼的途径和期限； 
（六）作出行政处罚决定的行政机关名称和作出决定的日期。 
行政处罚决定书必须盖有作出行政处罚决定的行政机关的印章。",现行有效,法律,法律,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0c15f68cf89e1339125e9f41d5d31c67?text=59,0c15f68cf89e1339125e9f41d5d31c67_59,0c15f68cf89e1339125e9f41d5d31c67,"['财税##财政法规', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.170748044,1
最高人民法院发布五起典型案例(2014年06月),,"” 国家土地管理局《土地违法案件查处办法》第二十七条“土地违法案件应当由土地管理部门领导集体审议，但实行行政首长负责制。审议应当制作笔录，由参加审议的成员签名……”以上规定确立了行政处罚程序中的行政机关负责人集体讨论制度，即在对情节复杂或重大违法行为进行较重处罚前，行政机关的负责人通过党组会、联席会议、首长办公会等形式进行集体研究，再作出行政处罚决定。　　较重的行政处罚，可能对被处罚人的权利造成巨大影响。如本案中国土资源部门作出的限期拆除建筑物的处罚，该处罚一经执行，将造成房屋灭失等无法逆转的后果，该处罚决定即使经过行政诉讼程序撤销，也不再具有恢复原状的可能性。经过负责人的集体讨论，不仅能够防止个别领导干部滥用权力，还能最大限度地保证行政决策的民主性和科学性，避免决策的随意性。　　五、戴世华诉济南市公安消防支队消防行政验收案
　　（一）基本案情
　　2011年10月24日，济南市旧城改造公司向济南市公安消防支队提出验收备案申请，要求对馆驿街以南棚户区改造工程1-8号楼的消防设施进行抽查验收。",现行有效,司法解释,指导案例,,0,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c07705fc9d9f6fe1539d24618f3e240b,,c07705fc9d9f6fe1539d24618f3e240b,[],1.1679498,2
最高人民法院发布行政诉讼法修正施行十周年典型案例,,"　　五、审查规范性文件合法性促推行政机关修改“红头文件”，实现行政诉讼“审理一案、规范一片”——袁某某诉江西省于都县人民政府物价行政征收案
　　六、依法判决撤销明显不当的行政处罚决定，监督行政机关依法行使职权、维护当事人合法权益——秦某某诉重庆市綦江区公安局交通巡逻警察支队、重庆市綦江区公安局行政处罚及行政复议案
　　七、依法适用民营经济促进法规定作出裁判，切实保护民营经济组织合法权益——甲公司诉河南省南阳市人民政府返还征收补偿款案
　　一、依法判决撤销国家部委行政复议决定，有力监督行政机关依法行使职权——丙公司诉原中华人民共和国国土资源部行政复议案
　　（一）基本案情
　　2006年1月，原湖南省国土资源厅向郴州市甲公司颁发《采矿许可证》，矿山名称为“甲公司红旗岭矿”，有效期限为2006年1月至2010年1月；2010年，采矿权人经原湖南省国土资源厅批准转让和变更登记为乙公司。",现行有效,司法解释,指导案例,,20251017,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/eb74379b24660674cb7db6a9dd0d76fe,,eb74379b24660674cb7db6a9dd0d76fe,[],1.1582217,2
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第九十六条,"　有下列情形之一，且对原告依法享有的听证、陈述、申辩等重要程序性权利不产生实质损害的，属于行政诉讼法第七十四条第一款第二项规定的“程序轻微违法”： 
（一）处理期限轻微违法； 
（二）通知、送达等程序轻微违法； 
（三）其他程序轻微违法的情形。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=96,b740a7aa6bdcd94a6cb099deeac811e6_96,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.149020076,1
中华人民共和国行政处罚法(2021修订),第七十三条,"　当事人对行政处罚决定不服，申请行政复议或者提起行政诉讼的，行政处罚不停止执行，法律另有规定的除外。 
当事人对限制人身自由的行政处罚决定不服，申请行政复议或者提起行政诉讼的，可以向作出决定的机关提出暂缓执行申请。符合法律规定情形的，应当暂缓执行。 
当事人申请行政复议或者提起行政诉讼的，加处罚款的数额在行政复议或者行政诉讼期间不予计算。",现行有效,法律,法律,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0c15f68cf89e1339125e9f41d5d31c67?text=73,0c15f68cf89e1339125e9f41d5d31c67_73,0c15f68cf89e1339125e9f41d5d31c67,"['财税##财政法规', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.14287682,1
