法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第二百二十条,　民事诉讼法第七十一条、第一百三十七条、第一百五十九条规定的商业秘密，是指生产工艺、配方、贸易联系、购销渠道等当事人不愿公开的技术秘密、商业情报及信息。,现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=220,a8be8255398ec3a38327e8f07ecd18a0_220,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.198280952,1
中华人民共和国广告法(2021修正),第五十二条,　市场监督管理部门和有关部门及其工作人员对其在广告监督管理活动中知悉的商业秘密负有保密义务。,现行有效,法律,法律,中央,20210429,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a9e5495be38e039fa49154a534980d10?text=52,a9e5495be38e039fa49154a534980d10_52,a9e5495be38e039fa49154a534980d10,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.17946704,1
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第二条,"　当事人仅以与特定客户保持长期稳定交易关系为由，主张该特定客户属于商业秘密的，人民法院不予支持。 
　　客户基于对员工个人的信赖而与该员工所在单位进行交易，该员工离职后，能够证明客户自愿选择与该员工或者该员工所在的新单位进行交易的，人民法院应当认定该员工没有采用不正当手段获取权利人的商业秘密。",现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=2,8192e40cd6f0e4d8d47332f75a5f3831_2,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1709702,1
中华人民共和国注册会计师法(2014修正),第十九条,　注册会计师对在执行业务中知悉的商业秘密，负有保密义务。,现行有效,法律,法律,中央,20140831,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55cbb18ec1cdf92088152cd455567e46?text=19,55cbb18ec1cdf92088152cd455567e46_19,55cbb18ec1cdf92088152cd455567e46,"['财税##注册会计师法规', '财税', '证券行业法规', '财税##注册会计师法规##注册会计师其他']",1.14796104,1
国务院国有资产监督管理委员会关于印发《中央企业商业秘密保护暂行规定》的通知,第二条,　本规定所称的商业秘密，是指不为公众所知悉、能为中央企业带来经济利益、具有实用性并经中央企业采取保密措施的经营信息和技术信息。,现行有效,部门规章,部门规范性文件,,20100325,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fe184b10a0f5c22569925d08459e0a65?text=2,fe184b10a0f5c22569925d08459e0a65_2,fe184b10a0f5c22569925d08459e0a65,"['企业法##知识产权', '企业法']",1.099152637,1
人力资源和社会保障部关于发布《企业实施竞业限制合规指引》的通知,第四条,"本指引所称商业秘密是指不为公众所知悉、具有商业价值并经企业采取相应保密措施的技术信息、经营信息等商业信息。
　　属于行业内一般常识或者行业惯例，可以从公开渠道获得的商业信息，不属于商业秘密。",现行有效,部门规章,部门规范性文件,,20250904,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d346c6a6268f97ac44563e0303273a04?text=4,d346c6a6268f97ac44563e0303273a04_4,d346c6a6268f97ac44563e0303273a04,[],1.0983551040000001,1
融资担保公司监督管理条例,第三十五条,　监督管理部门及其工作人员对监督管理工作中知悉的商业秘密，应当予以保密。,现行有效,行政法规,行政法规,中央,20171001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aedd3d271120413baebb401bb62b28cc?text=35,aedd3d271120413baebb401bb62b28cc_35,aedd3d271120413baebb401bb62b28cc,"['财税##其他财经法规', '财税##其他财经法规##国务院', '财税']",1.0900392140000001,1
国家工商行政管理局关于禁止侵犯商业秘密行为的若干规定(98修订),第三条,"　禁止下列侵犯商业秘密的行为： 
　　（一）以盗窃、利诱、胁迫或者其他不正当手段获取的权利人的商业秘密； 
　　（二）披露、使用或者允许他人使用以前项手段获取的权利人的商业秘密； 
　　（三）与权利人有业务关系的单位和个人违反合同约定或者违反权利人保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的权利人的商业秘密； 
　　（四）权利人的职工违反合同约定或者违反权利人保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的权利人的商业秘密。 
　　第三人明知或者应知前款所列违法行为，获取、使用或者披露他人的商业秘密，视为侵犯商业秘密。",现行有效,部门规章,部门规章,中央,19981203,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b23d7ca2936fe972855e43c27bf55e89?text=3,b23d7ca2936fe972855e43c27bf55e89_3,b23d7ca2936fe972855e43c27bf55e89,"['企业法##知识产权', '企业法']",1.0847077230000002,1
国家工商行政管理局关于禁止侵犯商业秘密行为的若干规定(98修订),第十条,"　国家机关及其公务人员在履行公务时，不得披露或者允许他人使用权利人的商业秘密。 
　　工商行政管理机关的办案人员在监督检查侵犯商业秘密的不正当竞争行为时，应当对权利人的商业秘密予以保密。",现行有效,部门规章,部门规章,中央,19981203,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b23d7ca2936fe972855e43c27bf55e89?text=10,b23d7ca2936fe972855e43c27bf55e89_10,b23d7ca2936fe972855e43c27bf55e89,"['企业法##知识产权', '企业法']",1.08416836,1
外商投资信息报告办法,第二十四条,　商务主管部门、市场监管部门应当依法保护履行职责过程中知悉的外国投资者、外商投资企业的商业秘密。,现行有效,部门规章,部门规章,中央,20200101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9e44d519a21314853fe8ab4c9249afa9?text=24,9e44d519a21314853fe8ab4c9249afa9_24,9e44d519a21314853fe8ab4c9249afa9,"['财税##其他财经法规##商务部', '财税##其他财经法规', '财税']",1.0784331470000001,1
