法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于行政诉讼证据若干问题的规定,第三十七条,　涉及国家秘密、商业秘密和个人隐私或者法律规定的其他应当保密的证据，不得在开庭时公开质证。,现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=37,cec5dfff41c2a23b429b09bd95aa445e_37,cec5dfff41c2a23b429b09bd95aa445e,[],1.193784288,1
中华人民共和国行政诉讼法(2017修正),第四十三条,"　证据应当在法庭上出示，并由当事人互相质证。对涉及国家秘密、商业秘密和个人隐私的证据，不得在公开开庭时出示。 
人民法院应当按照法定程序，全面、客观地审查核实证据。对未采纳的证据应当在裁判文书中说明理由。 
以非法手段取得的证据，不得作为认定案件事实的根据。",现行有效,法律,法律,中央,20170701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f8d68f2222d839c0d9972edcda1ac53?text=43,2f8d68f2222d839c0d9972edcda1ac53_43,2f8d68f2222d839c0d9972edcda1ac53,"['财税##其他法律法规##其他法律', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税##其他法律法规', '财税']",1.188484236,1
中华人民共和国民事诉讼法(2023修正),第七十一条,　证据应当在法庭上出示，并由当事人互相质证。对涉及国家秘密、商业秘密和个人隐私的证据应当保密，需要在法庭出示的，不得在公开开庭时出示。,现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f1b65a4dca3d6472206978435e2ea215?text=71,f1b65a4dca3d6472206978435e2ea215_71,f1b65a4dca3d6472206978435e2ea215,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法', '上市公司法##民事责任', '上市公司法', '上市公司法##上市公司']",1.18431504,1
最高人民法院关于民事诉讼证据的若干规定(2019修正),,"　　最高人民法院关于民事诉讼证据的若干规定 
　　（2001年12月6日最高人民法院审判委员会第1201次会议通过　根据2019年10月14日最高人民法院审判委员会第1777次会议《关于修改〈关于民事诉讼证据的若干规定〉的决定》修正）
　　为保证人民法院正确认定案件事实，公正、及时审理民事案件，保障和便利当事人依法行使诉讼权利，根据《中华人民共和国民事诉讼法》（以下简称民事诉讼法）等有关法律的规定，结合民事审判经验和实际情况，制定本规定。
　　一、当事人举证",现行有效,司法解释,高法司法解释,中央,20200501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693,,21d0c4b7c7833b78c7217600f2be8693,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.182993084,3
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第一百零三条,"　证据应当在法庭上出示，由当事人互相质证。未经当事人质证的证据，不得作为认定案件事实的根据。 
当事人在审理前的准备阶段认可的证据，经审判人员在庭审中说明后，视为质证过的证据。 
涉及国家秘密、商业秘密、个人隐私或者法律规定应当保密的证据，不得公开质证。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=103,a8be8255398ec3a38327e8f07ecd18a0_103,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.17946704,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第八十一条,　公开审理案件时，公诉人、诉讼参与人提出涉及国家秘密、商业秘密或者个人隐私的证据的，法庭应当制止；确与本案有关的，可以根据具体情况，决定将案件转为不公开审理，或者对相关证据的法庭调查不公开进行。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=81,27f2a1c90daf9dce939acd155a8e1966_81,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17874518,1
最高人民法院关于知识产权民事诉讼证据的若干规定,第二十六条,"　证据涉及商业秘密或者其他需要保密的商业信息的，人民法院应当在相关诉讼参与人接触该证据前，要求其签订保密协议、作出保密承诺，或者以裁定等法律文书责令其不得出于本案诉讼之外的任何目的披露、使用、允许他人使用在诉讼程序中接触到的秘密信息。 
　　当事人申请对接触前款所称证据的人员范围作出限制，人民法院经审查认为确有必要的，应当准许。",现行有效,司法解释,高法司法解释,中央,20201118,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f8c807b8b40795f2ab6dcde8530ced6c?text=26,f8c807b8b40795f2ab6dcde8530ced6c_26,f8c807b8b40795f2ab6dcde8530ced6c,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1765625,1
最高人民法院关于行政诉讼证据若干问题的规定,第十八条,　证据涉及国家秘密、商业秘密或者个人隐私的，提供人应当作出明确标注，并向法庭说明，法庭予以审查确认。,现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=18,cec5dfff41c2a23b429b09bd95aa445e_18,cec5dfff41c2a23b429b09bd95aa445e,[],1.1714639999999998,1
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第九十四条,"　民事诉讼法第六十七条第二款规定的当事人及其诉讼代理人因客观原因不能自行收集的证据包括： 
（一）证据由国家有关部门保存，当事人及其诉讼代理人无权查阅调取的； 
（二）涉及国家秘密、商业秘密或者个人隐私的； 
（三）当事人及其诉讼代理人因客观原因不能自行收集的其他证据。 
当事人及其诉讼代理人因客观原因不能自行收集的证据，可以在举证期限届满前书面申请人民法院调查收集。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=94,a8be8255398ec3a38327e8f07ecd18a0_94,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.16739696,1
最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,第二十一条,"　对于涉及当事人或者案外人的商业秘密的证据、材料，当事人或者案外人书面申请人民法院采取保密措施的，人民法院应当在保全、证据交换、质证、委托鉴定、询问、庭审等诉讼活动中采取必要的保密措施。 
　　违反前款所称的保密措施的要求，擅自披露商业秘密或者在诉讼活动之外使用或者允许他人使用在诉讼中接触、获取的商业秘密的，应当依法承担民事责任。构成民事诉讼法第一百一十一条规定情形的，人民法院可以依法采取强制措施。构成犯罪的，依法追究刑事责任。",现行有效,司法解释,高法司法解释,中央,20200912,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8192e40cd6f0e4d8d47332f75a5f3831?text=21,8192e40cd6f0e4d8d47332f75a5f3831_21,8192e40cd6f0e4d8d47332f75a5f3831,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.164691764,1
